selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response3.keys,response2.keys,response2.rt,response3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,2.4339804675,,,,,2018_Apr_26_1424,60.0691067329,Experiment1,001,wtp26,
2,0,0,0,8,,,,,0,0,0,0,,,None,,,,2018_Apr_26_1424,60.0691067329,Experiment1,001,wtp26,
2,0,0,0,8,,,,,,,,,,,,,,,2018_Apr_26_1424,60.0691067329,Experiment1,001,wtp26,
1,0,1,1,20,0,0,0,0,,,,,,,,1,0.734342522919,,2018_Apr_26_1424,60.0691067329,Experiment1,001,wtp26,
1,0,1,1,20,,,,,,,,,,,,,,,2018_Apr_26_1424,60.0691067329,Experiment1,001,wtp26,
2,0,2,2,10,,,,,0,0,0,0,,,1,,,1.26794687699,2018_Apr_26_1424,60.0691067329,Experiment1,001,wtp26,
2,0,2,2,10,,,,,,,,,,,,,,,2018_Apr_26_1424,60.0691067329,Experiment1,001,wtp26,
1,0,3,3,0,0,0,0,0,,,,,,,,1,0.867843992368,,2018_Apr_26_1424,60.0691067329,Experiment1,001,wtp26,
1,0,3,3,0,,,,,,,,,,,,,,,2018_Apr_26_1424,60.0691067329,Experiment1,001,wtp26,
1,0,4,4,16,0,0,0,0,,,,,,,,1,0.751066245779,,2018_Apr_26_1424,60.0691067329,Experiment1,001,wtp26,
1,0,4,4,16,,,,,,,,,,,,,,,2018_Apr_26_1424,60.0691067329,Experiment1,001,wtp26,
1,0,5,5,4,0,0,0,0,,,,,,,,1,0.650962148269,,2018_Apr_26_1424,60.0691067329,Experiment1,001,wtp26,
1,0,5,5,4,,,,,,,,,,,,,,,2018_Apr_26_1424,60.0691067329,Experiment1,001,wtp26,
1,0,6,6,2,0,0,0,0,,,,,,,,2,0.88363435166,,2018_Apr_26_1424,60.0691067329,Experiment1,001,wtp26,
1,0,6,6,2,,,,,,,,,,,,,,,2018_Apr_26_1424,60.0691067329,Experiment1,001,wtp26,
