selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response3.keys,response3.rt,response2.keys,response2.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,1.06716816896,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,0,0,17,,,,,0,0,0,0,,,1,0.734290991677,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,0,0,17,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,1,1,9,,,,,0,0,0,0,,,2,0.417499229545,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,1,1,9,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,2,2,12,0,0,0,0,,,,,,,,,1,0.600939951371,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,2,2,12,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,3,3,11,,,,,0,0,0,0,,,1,0.701117758872,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,3,3,11,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,4,4,4,0,0,0,0,,,,,,,,,1,0.750955828698,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,4,4,4,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,5,5,8,,,,,0,0,0,0,,,1,0.700925551355,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,5,5,8,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,6,6,13,0,0,0,0,,,,,,,,,1,1.3344288338,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,6,6,13,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,7,7,3,,,,,0,0,0,0,,,2,0.650427817367,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,7,7,3,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,8,8,18,,,,,0,0,0,0,,,2,0.684232412139,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,8,8,18,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,9,9,10,,,,,0,0,0,0,,,2,0.550852135988,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,9,9,10,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,10,10,16,0,0,0,0,,,,,,,,,2,1.78456572746,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,10,10,16,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,11,11,15,,,,,0,0,0,0,,,2,0.834281879012,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,11,11,15,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,12,12,5,0,0,0,0,,,,,,,,,2,0.417980370577,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,12,12,5,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,13,13,2,0,0,0,0,,,,,,,,,2,0.500845184783,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,13,13,2,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,14,14,14,,,,,0,0,0,0,,,2,0.500432467321,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,14,14,14,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,15,15,1,,,,,0,0,0,0,,,2,1.11779870652,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
2,0,15,15,1,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,16,16,6,0,0,0,0,,,,,,,,,2,0.784291722579,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,16,16,6,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,17,17,19,0,0,0,0,,,,,,,,,None,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,17,17,19,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,18,18,7,0,0,0,0,,,,,,,,,1,1.15060307481,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,18,18,7,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,19,19,0,0,0,0,0,,,,,,,,,2,1.23446251685,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
1,0,19,19,0,,,,,,,,,,,,,,,,,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
,,,,,,,,,,,,,,,,,,,space,1.8012143916,2018_Feb_09_1538,59.9768134437,Experiment1,001,1,
