selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response2.keys,response3.keys,response3.rt,response2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,1.5169710317,,,,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
1,0,0,0,0,0,0,0,0,,,,,,,None,,,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
1,0,0,0,0,,,,,,,,,,,,,,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
2,0,1,1,9,,,,,0,0,0,0,,,,1,0.667138373631,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
2,0,1,1,9,,,,,,,,,,,,,,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
1,0,2,2,16,0,0,0,0,,,,,,,2,,,0.383825883525,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
1,0,2,2,16,,,,,,,,,,,,,,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
2,0,3,3,10,,,,,0,0,0,0,,,,1,0.283835929329,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
2,0,3,3,10,,,,,,,,,,,,,,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
2,0,4,4,15,,,,,0,0,0,0,,,,1,0.333673688051,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
2,0,4,4,15,,,,,,,,,,,,,,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
1,0,5,5,19,0,0,0,0,,,,,,,2,,,0.400163531992,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
1,0,5,5,19,,,,,,,,,,,,,,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
1,0,6,6,2,0,0,0,0,,,,,,,2,,,0.316957533622,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
1,0,6,6,2,,,,,,,,,,,,,,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
1,0,7,7,23,0,0,0,0,,,,,,,2,,,0.283563790695,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
1,0,7,7,23,,,,,,,,,,,,,,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
1,0,8,8,5,0,0,0,0,,,,,,,2,,,0.317141654846,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
1,0,8,8,5,,,,,,,,,,,,,,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
1,0,9,9,22,0,0,0,0,,,,,,,2,,,0.350266058279,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
1,0,9,9,22,,,,,,,,,,,,,,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
2,0,10,10,18,,,,,0,0,0,0,,,,2,0.317062967903,,2018_Feb_22_1326,59.9616017246,Experiment1,001,wtp06,
