selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response3.keys,response3.rt,response2.keys,response2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,3.10056097881,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,0,0,1,,,,,0,0,0,0,,,1,0.484610171523,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,0,0,1,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,1,1,17,,,,,0,0,0,0,,,2,1.16796551959,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,1,1,17,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,2,2,4,0,0,0,0,,,,,,,,,None,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,2,2,4,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,3,3,11,,,,,0,0,0,0,,,None,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,3,3,11,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,4,4,18,,,,,0,0,0,0,,,None,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,4,4,18,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,5,5,23,0,0,0,0,,,,,,,,,1,0.733998948184,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,5,5,23,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,6,6,16,0,0,0,0,,,,,,,,,1,0.267399066943,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,6,6,16,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,7,7,0,0,0,0,0,,,,,,,,,2,0.317022535834,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,7,7,0,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,8,8,9,,,,,0,0,0,0,,,1,0.284197329427,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,8,8,9,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,9,9,19,0,0,0,0,,,,,,,,,1,0.4004605519,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,9,9,19,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,10,10,24,0,0,0,0,,,,,,,,,None,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,10,10,24,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,11,11,22,0,0,0,0,,,,,,,,,1,0.267080586927,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,11,11,22,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,12,12,2,0,0,0,0,,,,,,,,,1,0.301369121706,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,12,12,2,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,13,13,3,,,,,0,0,0,0,,,1,0.234274974442,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,13,13,3,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,14,14,10,,,,,0,0,0,0,,,1,0.584738838661,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,14,14,10,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,15,15,7,0,0,0,0,,,,,,,,,2,0.350923545193,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,15,15,7,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,16,16,21,,,,,0,0,0,0,,,2,0.350429652433,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,16,16,21,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,17,17,20,0,0,0,0,,,,,,,,,1,0.367676710535,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,17,17,20,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,18,18,5,0,0,0,0,,,,,,,,,None,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,18,18,5,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,19,19,14,,,,,0,0,0,0,,,1,0.467596997216,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,19,19,14,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,20,20,13,0,0,0,0,,,,,,,,,1,1.56762551732,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,20,20,13,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,21,21,15,,,,,0,0,0,0,,,1,0.384309512796,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,21,21,15,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,22,22,8,,,,,0,0,0,0,,,1,1.18368175894,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
2,0,22,22,8,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,23,23,6,0,0,0,0,,,,,,,,,1,0.300696083985,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,23,23,6,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,24,24,12,0,0,0,0,,,,,,,,,1,0.617656416725,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
1,0,24,24,12,,,,,,,,,,,,,,,2018_Feb_26_1215,59.9497509017,Experiment1,001,wtp11,
