selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response3.keys,response3.rt,response2.keys,response2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,4.70114419516,,,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
2,0,0,0,8,,,,,0,0,0,0,,,2,1.36739959568,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
2,0,0,0,8,,,,,,,,,,,,,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
2,0,1,1,21,,,,,0,0,0,0,,,None,,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
2,0,1,1,21,,,,,,,,,,,,,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
1,0,2,2,0,0,0,0,0,,,,,,,,,None,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
1,0,2,2,0,,,,,,,,,,,,,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
1,0,3,3,6,0,0,0,0,,,,,,,,,1,1.41765753634,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
1,0,3,3,6,,,,,,,,,,,,,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
1,0,4,4,2,0,0,0,0,,,,,,,,,2,0.783916637884,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
1,0,4,4,2,,,,,,,,,,,,,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
2,0,5,5,1,,,,,0,0,0,0,,,1,1.41785316519,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
2,0,5,5,1,,,,,,,,,,,,,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
2,0,6,6,3,,,,,0,0,0,0,,,2,1.66734271089,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
2,0,6,6,3,,,,,,,,,,,,,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
1,0,7,7,13,0,0,0,0,,,,,,,,,2,0.250414506067,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
1,0,7,7,13,,,,,,,,,,,,,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
1,0,8,8,5,0,0,0,0,,,,,,,,,2,1.38448959077,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
1,0,8,8,5,,,,,,,,,,,,,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
1,0,9,9,4,0,0,0,0,,,,,,,,,2,0.233665072941,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
1,0,9,9,4,,,,,,,,,,,,,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
1,0,10,10,24,0,0,0,0,,,,,,,,,None,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
1,0,10,10,24,,,,,,,,,,,,,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
2,0,11,11,15,,,,,0,0,0,0,,,2,0.217895649956,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
2,0,11,11,15,,,,,,,,,,,,,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
2,0,12,12,18,,,,,0,0,0,0,,,2,0.450360513758,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
2,0,12,12,18,,,,,,,,,,,,,,,2018_Mar_02_1455,59.9345529096,Experiment1,001,wtp20,
