selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response3.keys,response3.rt,response2.keys,response2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,11.1531474935,,,,,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
2,0,0,0,11,,,,,0,0,0,0,,,2,0.384439206216,,,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
2,0,0,0,11,,,,,,,,,,,,,,,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
1,0,1,1,6,0,0,0,0,,,,,,,,,1,0.600944616366,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
1,0,1,1,6,,,,,,,,,,,,,,,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
1,0,2,2,12,0,0,0,0,,,,,,,,,2,0.53442056058,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
1,0,2,2,12,,,,,,,,,,,,,,,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
1,0,3,3,23,0,0,0,0,,,,,,,,,2,0.984212849289,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
1,0,3,3,23,,,,,,,,,,,,,,,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
1,0,4,4,22,0,0,0,0,,,,,,,,,1,0.684289949946,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
1,0,4,4,22,,,,,,,,,,,,,,,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
2,0,5,5,3,,,,,0,0,0,0,,,1,0.383813443128,,,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
2,0,5,5,3,,,,,,,,,,,,,,,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
1,0,6,6,20,0,0,0,0,,,,,,,,,1,1.4341510036,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
1,0,6,6,20,,,,,,,,,,,,,,,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
1,0,7,7,4,0,0,0,0,,,,,,,,,2,0.917140161619,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
1,0,7,7,4,,,,,,,,,,,,,,,2018_Oct_29_1108,59.9904658152,Experiment1,001,wtp31,
