leftmoney,Right,rightmoney,Left,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,expName,participant,age,frameRate,sex,session,date,
,,,,,,,,space,1.10065366421,,,newer wtp,999,999,59.9814380406,0,001,2019_Feb_24_1618,
0.05,"Taking a road trip 
by yourself",0.03,"Traveling abroad with 
a significant other",0,0,0,30,,,None,,newer wtp,999,999,59.9814380406,0,001,2019_Feb_24_1618,
0.02,"Going on a double 
date",0.04,Doing your laundry,0,1,1,33,,,1,1.00145058148,newer wtp,999,999,59.9814380406,0,001,2019_Feb_24_1618,
0.05,"Having dinner with 
family",0.02,"Going grocery shopping 
alone",0,2,2,1,,,2,3.00114578567,newer wtp,999,999,59.9814380406,0,001,2019_Feb_24_1618,
0.01,"Buying coffee on 
the way to work",0.05,"Getting retweets 
on a picture",0,3,3,6,,,None,,newer wtp,999,999,59.9814380406,0,001,2019_Feb_24_1618,
0.03,"Getting a slice of pizza 
by yourself",0.02,Joining a study group,0,4,4,24,,,1,0.801409713924,newer wtp,999,999,59.9814380406,0,001,2019_Feb_24_1618,
0.04,"Babysitting for a 
family member",0.01,"Going on a hike 
by yourself",0,5,5,39,,,2,0.701372173615,newer wtp,999,999,59.9814380406,0,001,2019_Feb_24_1618,
0.02,Reading at the library,0.05,"Watching the sunset 
with a significant other",0,6,6,36,,,1,0.601134339347,newer wtp,999,999,59.9814380406,0,001,2019_Feb_24_1618,
0.02,Practicing photography,0.04,"Going to a concert 
with a friend",0,7,7,10,,,2,1.65141607355,newer wtp,999,999,59.9814380406,0,001,2019_Feb_24_1618,
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",0,8,8,2,,,1,0.350882649422,newer wtp,999,999,59.9814380406,0,001,2019_Feb_24_1618,
