leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,space,1.98341436897,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.03,"Going to a sporting
event with friends",0.05,Putting gas in a car,,,,,0,0,0,3,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.01,"Giving a friend a ride
to school",0.05,"Listening to music
by yourself",,,,,0,1,1,42,,,,,,,,,,,1,2.88467563828,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.04,"Going to a work outing
with colleagues",0.01,"Going on vacation 
by yourself",,,,,0,2,2,11,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.01,"Getting breakfast
by yourself",0.04,"Gaining Instagram
followers",,,,,0,3,3,44,,,,,,,,,,,1,2.35167279214,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.03,"Cleaning up around 
the house",0.05,"Playing a tennis match
 with a friend",,,,,0,4,4,38,,,,,,,,,,,1,2.63494412415,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.01,Drawing a picture,0.03,"Getting likes on an 
Instagram picture",,,,,0,5,5,20,,,,,,,,,,,1,1.90078541252,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.02,Exercising from home,0.03,"Attending a Superbowl 
party",,,,,0,6,6,22,,,,,,,,,,,2,2.85157186698,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.03,"Going to a family 
member’s baby shower",0.02,Watching the news,,,,,0,7,7,31,,,,,,,,,,,1,2.25084744496,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.05,"Trying to solve a 
Rubik’s cube",0.03,"Going shopping with
a significant other",,,,,0,8,8,26,,,,,,,,,,,2,2.61847170349,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.02,"Shopping for clothes
with friends",0.03,"Going to the beach 
alone",,,,,0,9,9,40,,,,,,,,,,,1,2.00076914634,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.01,"Going to a carnival 
with friends",0.01,"Rearranging furniture 
in your house",,,,,0,10,10,23,,,,,,,,,,,1,1.98425131707,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.02,"Having a picnic 
with family",0.02,"Watching a new 
episode of a television 
show",,,,,0,11,11,17,,,,,,,,,,,1,2.56767694486,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.01,"Buying coffee on 
the way to work",0.05,"Getting retweets 
on a picture",,,,,0,12,12,6,,,,,,,,,,,1,2.11830826374,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.02,"Going on a double 
date",0.04,Doing your laundry,,,,,0,13,13,33,,,,,,,,,,,1,2.10105954338,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.05,"Going on Spring Break 
vacation with friends",0.01,"Going for a bicycle
ride alone",,,,,0,14,14,13,,,,,,,,,,,1,2.18441099348,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",,,,,0,15,15,2,,,,,,,,,,,2,2.98457446427,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.02,"Adding new friends
on facebook",0.01,Running a marathon,,,,,0,16,16,9,,,,,,,,,,,2,1.98424043148,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.04,"Reading news 
articles",0.04,"Watching television
with family",,,,,0,17,17,47,,,,,,,,,,,2,1.85053026932,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.05,"Going camping 
with family",0.01,"Learning how to 
perform card tricks",,,,,0,18,18,29,,,,,,,,,,,1,1.71751429827,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.05,"Putting together 
a puzzle",0.01,"Going to the movies 
with a friend",,,,,0,19,19,0,,,,,,,,,,,2,1.83394246115,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.04,"Snapchatting with
friends",0.05,"Playing a videogame 
at home",,,,,0,20,20,19,,,,,,,,,,,1,2.00072373776,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.01,"Going to a nightclub with 
a group of friends",0.05,Writing journal entries,,,,,0,21,21,37,,,,,,,,,,,1,2.267574589,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.03,"Getting a slice of pizza 
by yourself",0.02,Joining a study group,,,,,0,22,22,24,,,,,,,,,,,1,3.33484363439,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.04,"Getting breakfast with 
a significant other",0.02,Listening to a podcast,,,,,0,23,23,27,,,,,,,,,,,1,2.96759135285,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.05,"Having dinner with 
family",0.02,"Going grocery shopping 
alone",,,,,0,24,24,1,,,,,,,,,,,1,2.2677465817,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.02,Practicing photography,0.04,"Going to a concert 
with a friend",,,,,0,25,25,10,,,,,,,,,,,2,1.85098746506,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.01,"Watching YouTube
videos",0.02,"Making breakfast 
for your family",,,,,0,26,26,41,,,,,,,,,,,2,2.00101920441,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.05,"Participating in 
a debate",0.03,"Going to a museum 
alone",,,,,0,27,27,15,,,,,,,,,,,1,3.15113429644,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.03,"Going on a 
dinner date",0.04,Getting a haircut,,,,,0,28,28,5,,,,,,,,,,,1,1.75075927153,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.03,Shopping online,0.01,"Catching up with friends 
from high school",,,,,0,29,29,18,,,,,,,,,,,2,1.71723531553,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.01,"Having a movie marathon 
with a roommate",0.04,"Looking through old 
photo albums",,,,,0,30,30,35,,,,,,,,,,,1,3.18471952286,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.01,"Studying abroad 
with friends",0.05,Playing with a pet,,,,,0,31,31,45,,,,,,,,,,,1,2.18426046101,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.04,"Taking an online
class",0.03,"Gaining Twitter
followers ",,,,,0,32,32,49,,,,,,,,,,,1,2.45117538187,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.02,"Going to the movies
with a significant other",0.05,"Driving to school
by yourself",,,,,0,33,33,46,,,,,,,,,,,1,2.50095062502,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.04,"Trying out a new 
recipe at home",0.03,"Spending a day at the 
beach with a friend",,,,,0,34,34,16,,,,,,,,,,,2,2.66802550218,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.04,"Watching a football 
game from home",0.01,"Attending a family 
barbeque",,,,,0,35,35,4,,,,,,,,,,,2,3.65146195338,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.01,"Playing cards with 
friends",0.02,Studying for a test alone,,,,,0,36,36,21,,,,,,,,,,,1,2.90160805386,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.02,"Getting lunch with 
coworkers",0.01,"Going to a farmer's
market by yourself",,,,,0,37,37,43,,,,,,,,,,,1,2.63446546817,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.05,"Going for a walk 
in the park",0.01,Playing a team sport,,,,,0,38,38,8,,,,,,,,,,,1,2.51775676751,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.04,"Babysitting for a 
family member",0.01,"Going on a hike 
by yourself",,,,,0,39,39,39,,,,,,,,,,,1,2.98437012578,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.05,"Planting flowers 
in a garden",0.02,"Taking a road trip 
with family",,,,,0,40,40,14,,,,,,,,,,,2,1.93420548865,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.02,"Having a romantic dinner 
with a significant other",0.02,"Painting your bedroom
a new color",,,,,0,41,41,25,,,,,,,,,,,1,2.38427800237,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.01,"Buying clothes 
for yourself",0.03,"Going to a party
with roommates",,,,,0,42,42,48,,,,,,,,,,,2,2.83446186039,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.05,Taking a nap,0.02,"Getting likes on a 
facebook post",,,,,0,43,43,28,,,,,,,,,,,1,2.00135323722,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.03,"Teaching yourself a 
different language",0.03,"Joining a club 
at school",,,,,0,44,44,12,,,,,,,,,,,2,3.30134487085,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.02,Reading at the library,0.05,"Watching the sunset 
with a significant other",,,,,0,45,45,36,,,,,,,,,,,2,2.18423060331,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.01,"Going to a friend’s 
birthday party",0.04,Reading a book,,,,,0,46,46,7,,,,,,,,,,,1,1.6174621406,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.03,"Watching Netflix at home 
by yourself",0.03,"Meeting new people 
at a party",,,,,0,47,47,32,,,,,,,,,,,2,1.86729940068,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.03,"Going to the movies 
by yourself",0.01,"Seeing a play with a 
significant other",,,,,0,48,48,34,,,,,,,,,,,1,2.61769913594,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
0.05,"Taking a road trip 
by yourself",0.03,"Traveling abroad with 
a significant other",,,,,0,49,49,30,,,,,,,,,,,2,2.25078461945,,,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.04,0.01,"Getting retweeted by 
a celebrity","Planning a surprise 
party for a family member",,,,,0,0,0,4,,,,,,,,,1,0,2.48425085054,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.02,0.05,"Taking an art class 
with friends","Walking around Central 
Park with family",,,,,0,1,1,13,,,,,,,,,1,0,2.61772121818,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.02,0.05,"Going to an amusement 
park with a friend","Baking a cake for a 
family member’s birthday",,,,,0,2,2,2,,,,,,,,,2,0,3.53464875082,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.05,0.02,"Eating dinner at a 
restaurant with family","Eating dinner at a
restaurant with friends ",,,,,0,3,3,14,,,,,,,,,1,0,2.78464494087,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.02,0.01,Going on a blind date,"Going to a coffee 
shop with friends",,,,,0,4,4,9,,,,,,,,,1,0,2.13431073699,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.01,0.05,"Playing videogames 
with friends","Taking your friend 
on a cruise",,,,,0,5,5,6,,,,,,,,,1,0,1.98442299876,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.05,0.01,Taking classes with a friend,"Taking a family member
 on a shopping trip",,,,,0,6,6,0,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.03,0.02,"Getting ice cream
with friends","Going sight-seeing
with family",,,,,0,7,7,24,,,,,,,,,2,0,2.55084840913,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.03,0.03,"Celebrating holidays 
with family","Talking to a friend 
over Skype",,,,,0,8,8,12,,,,,,,,,2,0,2.90155424783,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.01,0.03,"Getting likes on a 
Facebook status","Going on a first date 
to the movies",,,,,0,9,9,20,,,,,,,,,1,0,2.00087240411,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.02,0.03,"Getting verified on 
Instagram","Playing ping-pong
with friends",,,,,0,10,10,22,,,,,,,,,1,0,2.20093317694,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.01,0.05,"Getting drinks 
with co-workers","Playing icebreakers
with classmates",,,,,0,11,11,19,,,,,,,,,2,0,2.58446411527,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.01,0.01,"Going to a comedy show 
with a significant other","Watching friends'
Snapchat stories",,,,,0,12,12,23,,,,,,,,,2,0,3.1678853888,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.03,0.05,"Going to a parade 
with family","Making a friend’s 
favorite dinner",,,,,0,13,13,3,,,,,,,,,1,0,2.90125411595,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.04,0.03,"Going to a flea market
with family","Playing volleyball
with friends",,,,,0,14,14,16,,,,,,,,,1,0,2.78459020177,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.01,0.02,"Learning to drive 
with a family member","Going dancing with
a significant other",,,,,0,15,15,21,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.05,0.01,Posting Instagram stories,"Making cookies to 
give to a friend",,,,,0,16,16,8,,,,,,,,,1,0,1.63443187828,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
,,,,0.05,0.02,"Sleeping over at 
a friend's house","Taking your friend 
to the spa",,,,,0,17,17,1,,,,,,,,,1,0,1.4174570399,,,,,,,,,,,,,,,,,,,,,,2018_Feb_16_1027,59.9795731061,newer wtp,001,wtp01,
