leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date,
,,,,,,,,,,,,,,,,,,,,space,3.15125434136,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp16,26,60.147240656,f,001,2018_Mar_01_1424,
0.04,"Going to a work outing
with colleagues",0.01,"Going on vacation 
by yourself",,,,,0,0,0,11,,,,,,,,,,,2,3.60248911986,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp16,26,60.147240656,f,001,2018_Mar_01_1424,
0.05,"Going camping 
with family",0.01,"Learning how to 
perform card tricks",,,,,0,1,1,29,,,,,,,,,,,1,2.40199572477,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp16,26,60.147240656,f,001,2018_Mar_01_1424,
0.05,"Going for a walk 
in the park",0.01,Playing a team sport,,,,,0,2,2,8,,,,,,,,,,,2,1.45143413951,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp16,26,60.147240656,f,001,2018_Mar_01_1424,
0.02,Practicing photography,0.04,"Going to a concert 
with a friend",,,,,0,3,3,10,,,,,,,,,,,2,3.65157733113,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp16,26,60.147240656,f,001,2018_Mar_01_1424,
0.05,"Going on Spring Break 
vacation with friends",0.01,"Going for a bicycle
ride alone",,,,,0,4,4,13,,,,,,,,,,,2,1.61763682275,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp16,26,60.147240656,f,001,2018_Mar_01_1424,
0.04,"Reading news 
articles",0.04,"Watching television
with family",,,,,0,5,5,47,,,,,,,,,,,1,3.71811040619,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp16,26,60.147240656,f,001,2018_Mar_01_1424,
0.05,"Planting flowers 
in a garden",0.02,"Taking a road trip 
with family",,,,,0,6,6,14,,,,,,,,,,,2,3.33499923639,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp16,26,60.147240656,f,001,2018_Mar_01_1424,
0.01,Drawing a picture,0.03,"Getting likes on an 
Instagram picture",,,,,0,7,7,20,,,,,,,,,,,1,2.40163930098,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp16,26,60.147240656,f,001,2018_Mar_01_1424,
0.04,"Taking an online
class",0.03,"Gaining Twitter
followers ",,,,,0,8,8,49,,,,,,,,,,,2,2.81805277499,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp16,26,60.147240656,f,001,2018_Mar_01_1424,
