leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date,
,,,,,,,,,,,,,,,,,,,,space,2.76800271962,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.03,"Going on a 
dinner date",0.04,Getting a haircut,,,,,0,0,0,5,,,,,,,,,,,1,1.5014854013,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.05,"Going camping 
with family",0.01,"Learning how to 
perform card tricks",,,,,0,1,1,29,,,,,,,,,,,2,1.90146804694,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.01,"Watching YouTube
videos",0.02,"Making breakfast 
for your family",,,,,0,2,2,41,,,,,,,,,,,1,1.16783949966,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.03,"Going to the movies 
by yourself",0.01,"Seeing a play with a 
significant other",,,,,0,3,3,34,,,,,,,,,,,1,3.3190406966,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.01,"Playing cards with 
friends",0.02,Studying for a test alone,,,,,0,4,4,21,,,,,,,,,,,1,1.30110235699,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.03,"Teaching yourself a 
different language",0.03,"Joining a club 
at school",,,,,0,5,5,12,,,,,,,,,,,1,1.56741720485,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.02,Reading at the library,0.05,"Watching the sunset 
with a significant other",,,,,0,6,6,36,,,,,,,,,,,1,0.984102221671,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.04,"Getting breakfast with 
a significant other",0.02,Listening to a podcast,,,,,0,7,7,27,,,,,,,,,,,2,0.917498628143,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
0.01,"Going to a friend’s 
birthday party",0.04,Reading a book,,,,,0,8,8,7,,,,,,,,,,,1,0.967676653061,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
