leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date
,,,,,,,,,,,,,,,,,,,,space,2.850610458,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.04,"Babysitting for a 
family member",0.01,"Going on a hike 
by yourself",,,,,0,0,0,39,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.03,"Going on a 
dinner date",0.04,Getting a haircut,,,,,0,1,1,5,,,,,,,,,,,2,3.401776884,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",,,,,0,2,2,2,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.01,"Giving a friend a ride
to school",0.05,"Listening to music
by yourself",,,,,0,3,3,42,,,,,,,,,,,2,3.702038881,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.01,Drawing a picture,0.03,"Getting likes on an 
Instagram picture",,,,,0,4,4,20,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.05,"Going on Spring Break 
vacation with friends",0.01,"Going for a bicycle
ride alone",,,,,0,5,5,13,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.04,"Snapchatting with
friends",0.05,"Playing a videogame 
at home",,,,,0,6,6,19,,,,,,,,,,,2,2.45109962,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.02,"Getting lunch with 
coworkers",0.01,"Going to a farmer's
market by yourself",,,,,0,7,7,43,,,,,,,,,,,2,3.035694736,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.05,"Having dinner with 
family",0.02,"Going grocery shopping 
alone",,,,,0,8,8,1,,,,,,,,,,,2,3.068334696,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.05,"Taking a road trip 
by yourself",0.03,"Traveling abroad with 
a significant other",,,,,0,9,9,30,,,,,,,,,,,1,2.701687436,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.03,"Teaching yourself a 
different language",0.03,"Joining a club 
at school",,,,,0,10,10,12,,,,,,,,,,,1,2.351210092,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.01,"Buying coffee on 
the way to work",0.05,"Getting retweets 
on a picture",,,,,0,11,11,6,,,,,,,,,,,1,3.617969068,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.02,"Having a picnic 
with family",0.02,"Watching a new 
episode of a television 
show",,,,,0,12,12,17,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.03,"Getting a slice of pizza 
by yourself",0.02,Joining a study group,,,,,0,13,13,24,,,,,,,,,,,2,3.734944758,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.02,"Shopping for clothes
with friends",0.03,"Going to the beach 
alone",,,,,0,14,14,40,,,,,,,,,,,2,2.084871607,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.02,Practicing photography,0.04,"Going to a concert 
with a friend",,,,,0,15,15,10,,,,,,,,,,,1,3.201413122,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.04,"Going to a work outing
with colleagues",0.01,"Going on vacation 
by yourself",,,,,0,16,16,11,,,,,,,,,,,2,3.251791439,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.04,"Trying out a new 
recipe at home",0.03,"Spending a day at the 
beach with a friend",,,,,0,17,17,16,,,,,,,,,,,2,3.318183854,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.05,"Putting together 
a puzzle",0.01,"Going to the movies 
with a friend",,,,,0,18,18,0,,,,,,,,,,,2,3.018051549,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.04,"Getting breakfast with 
a significant other",0.02,Listening to a podcast,,,,,0,19,19,27,,,,,,,,,,,1,3.651820425,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.01,"Going to a carnival 
with friends",0.01,"Rearranging furniture 
in your house",,,,,0,20,20,23,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.02,"Going to the movies
with a significant other",0.05,"Driving to school
by yourself",,,,,0,21,21,46,,,,,,,,,,,2,3.051782544,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.02,Reading at the library,0.05,"Watching the sunset 
with a significant other",,,,,0,22,22,36,,,,,,,,,,,1,2.435017721,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.01,"Going to a nightclub with 
a group of friends",0.05,Writing journal entries,,,,,0,23,23,37,,,,,,,,,,,2,2.618448029,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.01,"Buying clothes 
for yourself",0.03,"Going to a party
with roommates",,,,,0,24,24,48,,,,,,,,,,,1,2.768299115,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.05,"Going for a walk 
in the park",0.01,Playing a team sport,,,,,0,25,25,8,,,,,,,,,,,1,1.885612878,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.03,"Going to a family 
member’s baby shower",0.02,Watching the news,,,,,0,26,26,31,,,,,,,,,,,1,3.40154269,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.05,Taking a nap,0.02,"Getting likes on a 
facebook post",,,,,0,27,27,28,,,,,,,,,,,2,3.001600165,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.02,"Having a romantic dinner 
with a significant other",0.02,"Painting your bedroom
a new color",,,,,0,28,28,25,,,,,,,,,,,2,2.685359215,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.01,"Having a movie marathon 
with a roommate",0.04,"Looking through old 
photo albums",,,,,0,29,29,35,,,,,,,,,,,1,3.285041607,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.03,"Cleaning up around 
the house",0.05,"Playing a tennis match
 with a friend",,,,,0,30,30,38,,,,,,,,,,,2,2.534901651,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.01,"Going to a friend’s 
birthday party",0.04,Reading a book,,,,,0,31,31,7,,,,,,,,,,,2,1.501393964,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.05,"Participating in 
a debate",0.03,"Going to a museum 
alone",,,,,0,32,32,15,,,,,,,,,,,2,2.017616129,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.02,"Adding new friends
on facebook",0.01,Running a marathon,,,,,0,33,33,9,,,,,,,,,,,1,2.301892332,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.05,"Trying to solve a 
Rubik’s cube",0.03,"Going shopping with
a significant other",,,,,0,34,34,26,,,,,,,,,,,1,3.001608874,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.01,"Watching YouTube
videos",0.02,"Making breakfast 
for your family",,,,,0,35,35,41,,,,,,,,,,,2,2.801584428,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.05,"Planting flowers 
in a garden",0.02,"Taking a road trip 
with family",,,,,0,36,36,14,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.03,"Watching Netflix at home 
by yourself",0.03,"Meeting new people 
at a party",,,,,0,37,37,32,,,,,,,,,,,1,2.184432393,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.01,"Playing cards with 
friends",0.02,Studying for a test alone,,,,,0,38,38,21,,,,,,,,,,,2,2.584787634,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
0.01,"Getting breakfast
by yourself",0.04,"Gaining Instagram
followers",,,,,0,39,39,44,,,,,,,,,,,1,2.901800521,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp24,18,59.91346421,m,1,2018_Apr_20_1318
