leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date
,,,,,,,,,,,,,,,,,,,,space,12.1868989,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp27,47,59.99886173,1,1,2018_Sep_24_1109
0.03,"Going to the movies 
by yourself",0.01,"Seeing a play with a 
significant other",,,,,0,0,0,34,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp27,47,59.99886173,1,1,2018_Sep_24_1109
0.01,"Playing cards with 
friends",0.02,Studying for a test alone,,,,,0,1,1,21,,,,,,,,,,,2,2.617973964,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp27,47,59.99886173,1,1,2018_Sep_24_1109
0.02,"Having a picnic 
with family",0.02,"Watching a new 
episode of a television 
show",,,,,0,2,2,17,,,,,,,,,,,1,3.23476669,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp27,47,59.99886173,1,1,2018_Sep_24_1109
0.05,"Having dinner with 
family",0.02,"Going grocery shopping 
alone",,,,,0,3,3,1,,,,,,,,,,,2,2.36783564,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp27,47,59.99886173,1,1,2018_Sep_24_1109
0.03,"Getting a slice of pizza 
by yourself",0.02,Joining a study group,,,,,0,4,4,24,,,,,,,,,,,2,2.151194938,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp27,47,59.99886173,1,1,2018_Sep_24_1109
0.05,Taking a nap,0.02,"Getting likes on a 
facebook post",,,,,0,5,5,28,,,,,,,,,,,2,3.401461711,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp27,47,59.99886173,1,1,2018_Sep_24_1109
0.01,"Getting breakfast
by yourself",0.04,"Gaining Instagram
followers",,,,,0,6,6,44,,,,,,,,,,,2,2.985231736,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp27,47,59.99886173,1,1,2018_Sep_24_1109
0.04,"Getting breakfast with 
a significant other",0.02,Listening to a podcast,,,,,0,7,7,27,,,,,,,,,,,2,2.884356632,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp27,47,59.99886173,1,1,2018_Sep_24_1109
0.03,"Cleaning up around 
the house",0.05,"Playing a tennis match
 with a friend",,,,,0,8,8,38,,,,,,,,,,,1,2.651215309,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp27,47,59.99886173,1,1,2018_Sep_24_1109
