selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response2.keys,response2.rt,response3.keys,response3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,10.2858876996,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,0,0,6,0,0,0,0,,,,,,,1,1.10111240949,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,0,0,6,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,1,1,5,0,0,0,0,,,,,,,2,0.683772419579,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,1,1,5,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,2,2,18,,,,,0,0,0,0,,,,,2,0.584435287863,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,2,2,18,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,3,3,8,,,,,0,0,0,0,,,,,1,0.767864813097,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,3,3,8,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,4,4,10,,,,,0,0,0,0,,,,,1,1.11794581637,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,4,4,10,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,5,5,11,,,,,0,0,0,0,,,,,1,0.684023409151,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,5,5,11,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,6,6,21,,,,,0,0,0,0,,,,,1,0.434274788015,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,6,6,21,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,7,7,24,0,0,0,0,,,,,,,1,1.00104687829,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,7,7,24,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,8,8,9,,,,,0,0,0,0,,,,,2,0.717658501118,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,8,8,9,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,9,9,19,0,0,0,0,,,,,,,2,1.01773473062,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,9,9,19,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,10,10,16,0,0,0,0,,,,,,,1,0.617387387902,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,10,10,16,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,11,11,3,,,,,0,0,0,0,,,,,1,1.03466952872,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,11,11,3,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,12,12,12,0,0,0,0,,,,,,,2,0.417609018274,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,12,12,12,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,13,13,22,0,0,0,0,,,,,,,1,0.684735945426,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,13,13,22,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,14,14,1,,,,,0,0,0,0,,,,,1,0.984364936128,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,14,14,1,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,15,15,17,,,,,0,0,0,0,,,,,2,0.951517336071,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,15,15,17,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,16,16,0,0,0,0,0,,,,,,,2,1.117595613,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,16,16,0,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,17,17,13,0,0,0,0,,,,,,,1,1.01783270016,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,17,17,13,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,18,18,15,,,,,0,0,0,0,,,,,2,0.750785703771,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,18,18,15,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,19,19,23,0,0,0,0,,,,,,,2,0.917685682885,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,19,19,23,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,20,20,20,0,0,0,0,,,,,,,1,1.03386462014,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,20,20,20,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,21,21,4,0,0,0,0,,,,,,,1,0.784213968553,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,21,21,4,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,22,22,2,0,0,0,0,,,,,,,2,0.734696866944,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,22,22,2,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,23,23,7,0,0,0,0,,,,,,,2,0.800821890123,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
1,0,23,23,7,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,24,24,14,,,,,0,0,0,0,,,,,1,0.801154675893,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
2,0,24,24,14,,,,,,,,,,,,,,,2018_Dec_07_1351,59.9258400711,Experiment1,001,EXC15,
