selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response2.keys,response2.rt,response3.keys,response3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,4.20206869533,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
1,0,0,0,16,0,0,0,0,,,,,,,None,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
1,0,0,0,16,,,,,,,,,,,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
1,0,1,1,2,0,0,0,0,,,,,,,2,1.25177069521,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
1,0,1,1,2,,,,,,,,,,,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
1,0,2,2,13,0,0,0,0,,,,,,,1,0.717425292823,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
1,0,2,2,13,,,,,,,,,,,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,3,3,11,,,,,0,0,0,0,,,,,2,0.300559549592,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,3,3,11,,,,,,,,,,,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,4,4,10,,,,,0,0,0,0,,,,,1,1.68414434511,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,4,4,10,,,,,,,,,,,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
1,0,5,5,4,0,0,0,0,,,,,,,2,1.25197098963,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
1,0,5,5,4,,,,,,,,,,,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,6,6,15,,,,,0,0,0,0,,,,,1,1.6517563262,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,6,6,15,,,,,,,,,,,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,7,7,18,,,,,0,0,0,0,,,,,2,0.434435689822,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,7,7,18,,,,,,,,,,,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,8,8,14,,,,,0,0,0,0,,,,,1,1.63492162246,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,8,8,14,,,,,,,,,,,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
1,0,9,9,12,0,0,0,0,,,,,,,2,1.06734316889,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
1,0,9,9,12,,,,,,,,,,,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
1,0,10,10,5,0,0,0,0,,,,,,,1,0.567129656207,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
1,0,10,10,5,,,,,,,,,,,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
1,0,11,11,22,0,0,0,0,,,,,,,2,0.967379651498,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
1,0,11,11,22,,,,,,,,,,,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,12,12,3,,,,,0,0,0,0,,,,,1,0.450393638108,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,12,12,3,,,,,,,,,,,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,13,13,9,,,,,0,0,0,0,,,,,2,0.317739482038,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,13,13,9,,,,,,,,,,,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,14,14,1,,,,,0,0,0,0,,,,,1,1.35094112065,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
2,0,14,14,1,,,,,,,,,,,,,,,2019_Feb_07_1516,59.8815689978,Experiment1,001,exc23,
