selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response2.keys,response3.keys,response3.rt,response2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,322.545676046,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,0,0,24,0,0,0,0,,,,,,,None,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,0,0,24,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,1,1,1,,,,,0,0,0,0,,,,2,1.15045021242,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,1,1,1,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,2,2,2,0,0,0,0,,,,,,,2,,,1.20073443465,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,2,2,2,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,3,3,13,0,0,0,0,,,,,,,1,,,0.75049848156,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,3,3,13,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,4,4,15,,,,,0,0,0,0,,,,2,1.05070129549,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,4,4,15,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,5,5,11,,,,,0,0,0,0,,,,1,0.900665979832,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,5,5,11,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,6,6,19,0,0,0,0,,,,,,,2,,,1.88418179145,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,6,6,19,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,7,7,14,,,,,0,0,0,0,,,,2,0.683838616125,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,7,7,14,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,8,8,18,,,,,0,0,0,0,,,,None,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,8,8,18,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,9,9,6,0,0,0,0,,,,,,,2,,,1.81751570525,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,9,9,6,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,10,10,8,,,,,0,0,0,0,,,,1,0.600420245901,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,10,10,8,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,11,11,10,,,,,0,0,0,0,,,,2,1.03384077782,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,11,11,10,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,12,12,12,0,0,0,0,,,,,,,2,,,1.50077054324,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,12,12,12,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,13,13,3,,,,,0,0,0,0,,,,2,0.884095018264,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,13,13,3,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,14,14,0,0,0,0,0,,,,,,,1,,,1.01713576773,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,14,14,0,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,15,15,17,,,,,0,0,0,0,,,,2,1.03406502074,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,15,15,17,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,16,16,22,0,0,0,0,,,,,,,2,,,0.583655209281,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,16,16,22,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,17,17,9,,,,,0,0,0,0,,,,1,0.616952641401,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,17,17,9,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,18,18,20,0,0,0,0,,,,,,,2,,,0.950549301691,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,18,18,20,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,19,19,5,0,0,0,0,,,,,,,2,,,0.30062299734,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,19,19,5,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,20,20,16,0,0,0,0,,,,,,,2,,,1.00052748434,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,20,20,16,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,21,21,4,0,0,0,0,,,,,,,2,,,0.500506801531,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,21,21,4,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,22,22,7,0,0,0,0,,,,,,,2,,,0.683968931902,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,22,22,7,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,23,23,23,0,0,0,0,,,,,,,2,,,0.316970027052,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
1,0,23,23,23,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,24,24,21,,,,,0,0,0,0,,,,2,0.450216669589,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
2,0,24,24,21,,,,,,,,,,,,,,,2019_Feb_13_1048,59.9793121049,Experiment1,001,exc24,
