selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response3.keys,response2.keys,response3.rt,response2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,7.31843734626,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,0,0,21,,,,,0,0,0,0,,,None,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,0,0,21,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,1,1,11,,,,,0,0,0,0,,,None,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,1,1,11,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,2,2,16,0,0,0,0,,,,,,,,None,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,2,2,16,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,3,3,13,0,0,0,0,,,,,,,,None,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,3,3,13,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,4,4,14,,,,,0,0,0,0,,,2,,0.434033128433,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,4,4,14,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,5,5,23,0,0,0,0,,,,,,,,2,,1.88459175918,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,5,5,23,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,6,6,3,,,,,0,0,0,0,,,2,,0.700707840733,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,6,6,3,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,7,7,4,0,0,0,0,,,,,,,,None,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,7,7,4,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,8,8,18,,,,,0,0,0,0,,,1,,0.550716844387,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,8,8,18,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,9,9,7,0,0,0,0,,,,,,,,1,,0.600803104229,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,9,9,7,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,10,10,19,0,0,0,0,,,,,,,,1,,1.18385437317,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,10,10,19,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,11,11,6,0,0,0,0,,,,,,,,None,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,11,11,6,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,12,12,9,,,,,0,0,0,0,,,2,,0.86780500412,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,12,12,9,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,13,13,0,0,0,0,0,,,,,,,,2,,0.883978436701,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,13,13,0,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,14,14,8,,,,,0,0,0,0,,,1,,0.717522586696,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,14,14,8,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,15,15,1,,,,,0,0,0,0,,,None,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,15,15,1,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,16,16,15,,,,,0,0,0,0,,,2,,1.11745596677,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,16,16,15,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,17,17,17,,,,,0,0,0,0,,,1,,1.30094707385,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,17,17,17,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,18,18,10,,,,,0,0,0,0,,,2,,0.734257090837,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
2,0,18,18,10,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,19,19,5,0,0,0,0,,,,,,,,1,,0.751241962425,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,19,19,5,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,20,20,2,0,0,0,0,,,,,,,,1,,1.05049648974,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,20,20,2,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,21,21,22,0,0,0,0,,,,,,,,2,,0.517476120964,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
1,0,21,21,22,,,,,,,,,,,,,,,2018_Nov_28_1106,59.9840865406,Experiment1,001,exc2,
