selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response3.keys,response3.rt,response2.keys,response2.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,3.23380720709,,,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
2,0,0,0,11,,,,,0,0,0,0,,,1,1.21764217224,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
2,0,0,0,11,,,,,,,,,,,,,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
2,0,1,1,10,,,,,0,0,0,0,,,1,0.567354933359,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
2,0,1,1,10,,,,,,,,,,,,,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
2,0,2,2,17,,,,,0,0,0,0,,,2,0.550829743035,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
2,0,2,2,17,,,,,,,,,,,,,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
1,0,3,3,20,0,0,0,0,,,,,,,,,None,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
1,0,3,3,20,,,,,,,,,,,,,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
1,0,4,4,2,0,0,0,0,,,,,,,,,2,0.650625000708,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
1,0,4,4,2,,,,,,,,,,,,,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
1,0,5,5,13,0,0,0,0,,,,,,,,,1,0.617475716397,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
1,0,5,5,13,,,,,,,,,,,,,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
2,0,6,6,1,,,,,0,0,0,0,,,2,0.567424912006,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
2,0,6,6,1,,,,,,,,,,,,,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
2,0,7,7,21,,,,,0,0,0,0,,,2,0.533844249323,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
2,0,7,7,21,,,,,,,,,,,,,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
1,0,8,8,7,0,0,0,0,,,,,,,,,2,0.683894338086,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
1,0,8,8,7,,,,,,,,,,,,,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
1,0,9,9,4,0,0,0,0,,,,,,,,,1,0.317245534621,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
1,0,9,9,4,,,,,,,,,,,,,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
2,0,10,10,3,,,,,0,0,0,0,,,2,0.374441610649,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
2,0,10,10,3,,,,,,,,,,,,,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
1,0,11,11,24,0,0,0,0,,,,,,,,,2,0.300671824254,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
1,0,11,11,24,,,,,,,,,,,,,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
2,0,12,12,15,,,,,0,0,0,0,,,1,0.684040514752,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
2,0,12,12,15,,,,,,,,,,,,,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
1,0,13,13,0,0,0,0,0,,,,,,,,,1,0.300790633075,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
1,0,13,13,0,,,,,,,,,,,,,,,2018_Nov_28_1222,59.9548932522,Experiment1,001,exc3,
