leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date,
,,,,,,,,,,,,,,,,,,,,space,4.40053830761,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.05,"Taking a road trip 
by yourself",0.03,"Traveling abroad with 
a significant other",,,,,0,0,0,30,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.04,"Trying out a new 
recipe at home",0.03,"Spending a day at the 
beach with a friend",,,,,0,1,1,16,,,,,,,,,,,2,1.95158249885,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.03,"Cleaning up around 
the house",0.05,"Playing a tennis match
 with a friend",,,,,0,2,2,38,,,,,,,,,,,2,2.83513914747,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.05,Taking a nap,0.02,"Getting likes on a 
facebook post",,,,,0,3,3,28,,,,,,,,,,,2,2.18459391966,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.02,"Getting lunch with 
coworkers",0.01,"Going to a farmer's
market by yourself",,,,,0,4,4,43,,,,,,,,,,,2,1.73440337554,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.05,"Going on Spring Break 
vacation with friends",0.01,"Going for a bicycle
ride alone",,,,,0,5,5,13,,,,,,,,,,,2,1.7015709132,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.05,"Having dinner with 
family",0.02,"Going grocery shopping 
alone",,,,,0,6,6,1,,,,,,,,,,,2,1.28466815921,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.02,Reading at the library,0.05,"Watching the sunset 
with a significant other",,,,,0,7,7,36,,,,,,,,,,,1,1.48569992557,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.03,Shopping online,0.01,"Catching up with friends 
from high school",,,,,0,8,8,18,,,,,,,,,,,2,1.35132336011,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.05,"Going camping 
with family",0.01,"Learning how to 
perform card tricks",,,,,0,9,9,29,,,,,,,,,,,2,1.11749769747,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.01,"Buying coffee on 
the way to work",0.05,"Getting retweets 
on a picture",,,,,0,10,10,6,,,,,,,,,,,1,0.934651379939,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.03,"Watching Netflix at home 
by yourself",0.03,"Meeting new people 
at a party",,,,,0,11,11,32,,,,,,,,,,,2,2.95147302095,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.03,"Going to the movies 
by yourself",0.01,"Seeing a play with a 
significant other",,,,,0,12,12,34,,,,,,,,,,,2,2.01822028263,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.04,"Watching a football 
game from home",0.01,"Attending a family 
barbeque",,,,,0,13,13,4,,,,,,,,,,,2,1.66799418861,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.04,"Going to a work outing
with colleagues",0.01,"Going on vacation 
by yourself",,,,,0,14,14,11,,,,,,,,,,,2,2.06789429067,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.02,Exercising from home,0.03,"Attending a Superbowl 
party",,,,,0,15,15,22,,,,,,,,,,,2,2.55174739985,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.01,"Giving a friend a ride
to school",0.05,"Listening to music
by yourself",,,,,0,16,16,42,,,,,,,,,,,1,2.40164023917,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.05,"Putting together 
a puzzle",0.01,"Going to the movies 
with a friend",,,,,0,17,17,0,,,,,,,,,,,2,1.91834136099,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.02,"Going to the movies
with a significant other",0.05,"Driving to school
by yourself",,,,,0,18,18,46,,,,,,,,,,,1,1.23367046472,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.03,"Teaching yourself a 
different language",0.03,"Joining a club 
at school",,,,,0,19,19,12,,,,,,,,,,,2,2.11820899229,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.04,"Getting breakfast with 
a significant other",0.02,Listening to a podcast,,,,,0,20,20,27,,,,,,,,,,,1,2.10175746121,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.01,Drawing a picture,0.03,"Getting likes on an 
Instagram picture",,,,,0,21,21,20,,,,,,,,,,,1,3.08480426017,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.05,"Trying to solve a 
Rubik’s cube",0.03,"Going shopping with
a significant other",,,,,0,22,22,26,,,,,,,,,,,2,2.11839093734,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.03,"Going on a 
dinner date",0.04,Getting a haircut,,,,,0,23,23,5,,,,,,,,,,,1,1.78441763576,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.04,"Snapchatting with
friends",0.05,"Playing a videogame 
at home",,,,,0,24,24,19,,,,,,,,,,,1,1.90097948443,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.01,"Going to a nightclub with 
a group of friends",0.05,Writing journal entries,,,,,0,25,25,37,,,,,,,,,,,1,1.95159462839,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.01,"Going to a friend’s 
birthday party",0.04,Reading a book,,,,,0,26,26,7,,,,,,,,,,,1,0.867812057491,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.03,"Going to a family 
member’s baby shower",0.02,Watching the news,,,,,0,27,27,31,,,,,,,,,,,1,3.3188753142,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.04,"Reading news 
articles",0.04,"Watching television
with family",,,,,0,28,28,47,,,,,,,,,,,2,2.88537360728,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.01,"Getting breakfast
by yourself",0.04,"Gaining Instagram
followers",,,,,0,29,29,44,,,,,,,,,,,1,1.61819328647,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.02,"Having a picnic 
with family",0.02,"Watching a new 
episode of a television 
show",,,,,0,30,30,17,,,,,,,,,,,1,2.26846015407,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.03,"Getting a slice of pizza 
by yourself",0.02,Joining a study group,,,,,0,31,31,24,,,,,,,,,,,2,1.80117271887,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",,,,,0,32,32,2,,,,,,,,,,,2,3.71888116142,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.01,"Buying clothes 
for yourself",0.03,"Going to a party
with roommates",,,,,0,33,33,48,,,,,,,,,,,1,2.23504142603,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.05,"Going for a walk 
in the park",0.01,Playing a team sport,,,,,0,34,34,8,,,,,,,,,,,2,1.68449486094,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.02,"Shopping for clothes
with friends",0.03,"Going to the beach 
alone",,,,,0,35,35,40,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.01,"Having a movie marathon 
with a roommate",0.04,"Looking through old 
photo albums",,,,,0,36,36,35,,,,,,,,,,,1,1.23430991499,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.02,"Adding new friends
on facebook",0.01,Running a marathon,,,,,0,37,37,9,,,,,,,,,,,1,1.5509455991,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.02,"Going on a double 
date",0.04,Doing your laundry,,,,,0,38,38,33,,,,,,,,,,,1,1.30143412855,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.04,"Babysitting for a 
family member",0.01,"Going on a hike 
by yourself",,,,,0,39,39,39,,,,,,,,,,,2,2.38494269364,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.01,"Going to a carnival 
with friends",0.01,"Rearranging furniture 
in your house",,,,,0,40,40,23,,,,,,,,,,,1,0.901503236499,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.05,"Participating in 
a debate",0.03,"Going to a museum 
alone",,,,,0,41,41,15,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.02,Practicing photography,0.04,"Going to a concert 
with a friend",,,,,0,42,42,10,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.02,"Having a romantic dinner 
with a significant other",0.02,"Painting your bedroom
a new color",,,,,0,43,43,25,,,,,,,,,,,2,2.41853372473,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.01,"Playing cards with 
friends",0.02,Studying for a test alone,,,,,0,44,44,21,,,,,,,,,,,1,1.15140223363,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.05,"Planting flowers 
in a garden",0.02,"Taking a road trip 
with family",,,,,0,45,45,14,,,,,,,,,,,2,2.08499149233,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.01,"Watching YouTube
videos",0.02,"Making breakfast 
for your family",,,,,0,46,46,41,,,,,,,,,,,1,3.06850108365,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.03,"Going to a sporting
event with friends",0.05,Putting gas in a car,,,,,0,47,47,3,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.01,"Studying abroad 
with friends",0.05,Playing with a pet,,,,,0,48,48,45,,,,,,,,,,,1,1.50141217047,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
0.04,"Taking an online
class",0.03,"Gaining Twitter
followers ",,,,,0,49,49,49,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.05,0.03,"Going to a street fair
with friends",Having a Tweet go viral,,,,,0,0,0,15,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.01,0.05,"Playing videogames 
with friends","Taking your friend 
on a cruise",,,,,0,1,1,6,,,,,,,,,1,0,1.46808177093,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.05,0.02,"Sleeping over at 
a friend's house","Taking your friend 
to the spa",,,,,0,2,2,1,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.03,0.02,"Getting ice cream
with friends","Going sight-seeing
with family",,,,,0,3,3,24,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.03,0.03,"Celebrating holidays 
with family","Talking to a friend 
over Skype",,,,,0,4,4,12,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.05,0.01,Posting Instagram stories,"Making cookies to 
give to a friend",,,,,0,5,5,8,,,,,,,,,2,0,1.30098719755,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.03,0.05,"Going to a parade 
with family","Making a friend’s 
favorite dinner",,,,,0,6,6,3,,,,,,,,,1,0,1.83441572264,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.02,0.02,"Working on a group
project with classmates","Getting likes on an
Instagram picture",,,,,0,7,7,17,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.05,0.01,Taking classes with a friend,"Taking a family member
 on a shopping trip",,,,,0,8,8,0,,,,,,,,,2,0,1.75112580182,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.04,0.02,"Baking cookies for
a neighbor","Getting tagged in 
Instagram pictures",,,,,0,9,9,11,,,,,,,,,2,0,1.65145090781,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.02,0.05,"Going to an amusement 
park with a friend","Baking a cake for a 
family member’s birthday",,,,,0,10,10,2,,,,,,,,,1,0,1.50171852205,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.03,0.04,"Going to a music
festival with friends","Buying flowers for 
a significant other",,,,,0,11,11,5,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.02,0.01,Going on a blind date,"Going to a coffee 
shop with friends",,,,,0,12,12,9,,,,,,,,,2,0,2.0019855299,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.04,0.01,"Getting retweeted by 
a celebrity","Planning a surprise 
party for a family member",,,,,0,13,13,4,,,,,,,,,2,0,1.50113163376,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.01,0.02,"Learning to drive 
with a family member","Going dancing with
a significant other",,,,,0,14,14,21,,,,,,,,,1,0,1.43478247337,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.02,0.04,"Going to a bar 
with friends","Getting a slice of 
pizza with a friend",,,,,0,15,15,10,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.01,0.05,"Getting drinks 
with co-workers","Playing icebreakers
with classmates",,,,,0,16,16,19,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.01,0.03,"Getting likes on a 
Facebook status","Going on a first date 
to the movies",,,,,0,17,17,20,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.05,0.02,"Eating dinner at a 
restaurant with family","Eating dinner at a
restaurant with friends ",,,,,0,18,18,14,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.02,0.05,"Taking an art class 
with friends","Walking around Central 
Park with family",,,,,0,19,19,13,,,,,,,,,1,0,1.06762370607,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.02,0.03,"Getting verified on 
Instagram","Playing ping-pong
with friends",,,,,0,20,20,22,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.04,0.03,"Going to a flea market
with family","Playing volleyball
with friends",,,,,0,21,21,16,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.01,0.04,"Talking over the phone
with a friend","Talking over the phone
with a significant other",,,,,0,22,22,7,,,,,,,,,1,0,1.08409918565,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.01,0.01,"Going to a comedy show 
with a significant other","Watching friends'
Snapchat stories",,,,,0,23,23,23,,,,,,,,,None,0,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,0.03,0.01,"Going to a karaoke
bar with friends","Going on a weekend
getaway with family",,,,,0,24,24,18,,,,,,,,,2,0,2.11868484784,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.45181405032,,,,,,,,,,,,,,,,,,,,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,2,8.001,"[(None, 0.0), (2, 6.7), (2, 8.001)]",6,3.617,7,4.12,5,3.918,1,3.638,5,3.938,7,3.585,1,3.402,7,3.367,newer wtp,exc18,23,59.8776659995,0,001,2019_Feb_06_0936,
