leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date,
,,,,,,,,,,,,,,,,,,,,space,2.88455723692,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.05,"Going camping 
with family",0.01,"Learning how to 
perform card tricks",,,,,0,0,0,29,,,,,,,,,,,2,3.73543273006,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.01,"Giving a friend a ride
to school",0.05,"Listening to music
by yourself",,,,,0,1,1,42,,,,,,,,,,,1,2.58602364454,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.05,"Planting flowers 
in a garden",0.02,"Taking a road trip 
with family",,,,,0,2,2,14,,,,,,,,,,,1,1.90155672655,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.05,"Going on Spring Break 
vacation with friends",0.01,"Going for a bicycle
ride alone",,,,,0,3,3,13,,,,,,,,,,,2,1.95105703268,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.02,"Going on a double 
date",0.04,Doing your laundry,,,,,0,4,4,33,,,,,,,,,,,2,1.7698254548,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.03,"Going on a 
dinner date",0.04,Getting a haircut,,,,,0,5,5,5,,,,,,,,,,,2,1.58447727468,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.03,"Cleaning up around 
the house",0.05,"Playing a tennis match
 with a friend",,,,,0,6,6,38,,,,,,,,,,,1,2.35161120072,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.04,"Getting breakfast with 
a significant other",0.02,Listening to a podcast,,,,,0,7,7,27,,,,,,,,,,,2,1.7010540003,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.02,"Having a romantic dinner 
with a significant other",0.02,"Painting your bedroom
a new color",,,,,0,8,8,25,,,,,,,,,,,2,1.63420742191,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.01,"Watching YouTube
videos",0.02,"Making breakfast 
for your family",,,,,0,9,9,41,,,,,,,,,,,1,2.11873890646,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.01,"Getting breakfast
by yourself",0.04,"Gaining Instagram
followers",,,,,0,10,10,44,,,,,,,,,,,1,2.78517594002,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.02,Reading at the library,0.05,"Watching the sunset 
with a significant other",,,,,0,11,11,36,,,,,,,,,,,1,1.43423684314,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.03,"Going to a sporting
event with friends",0.05,Putting gas in a car,,,,,0,12,12,3,,,,,,,,,,,2,1.18467389885,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.01,"Going to a friend’s 
birthday party",0.04,Reading a book,,,,,0,13,13,7,,,,,,,,,,,2,1.01760534756,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.02,"Going to the movies
with a significant other",0.05,"Driving to school
by yourself",,,,,0,14,14,46,,,,,,,,,,,2,1.88534441683,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.02,"Shopping for clothes
with friends",0.03,"Going to the beach 
alone",,,,,0,15,15,40,,,,,,,,,,,1,2.48452526424,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.03,Shopping online,0.01,"Catching up with friends 
from high school",,,,,0,16,16,18,,,,,,,,,,,2,2.05139408074,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.02,"Having a picnic 
with family",0.02,"Watching a new 
episode of a television 
show",,,,,0,17,17,17,,,,,,,,,,,2,2.50168119464,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.02,"Getting lunch with 
coworkers",0.01,"Going to a farmer's
market by yourself",,,,,0,18,18,43,,,,,,,,,,,2,2.78443385661,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.05,"Trying to solve a 
Rubik’s cube",0.03,"Going shopping with
a significant other",,,,,0,19,19,26,,,,,,,,,,,1,2.96832368523,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.01,Drawing a picture,0.03,"Getting likes on an 
Instagram picture",,,,,0,20,20,20,,,,,,,,,,,1,2.05200024974,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.03,"Going to a family 
member’s baby shower",0.02,Watching the news,,,,,0,21,21,31,,,,,,,,,,,2,1.46779231541,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.03,"Going to the movies 
by yourself",0.01,"Seeing a play with a 
significant other",,,,,0,22,22,34,,,,,,,,,,,1,1.83461217768,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.05,"Going for a walk 
in the park",0.01,Playing a team sport,,,,,0,23,23,8,,,,,,,,,,,1,1.7182139745,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.04,"Watching a football 
game from home",0.01,"Attending a family 
barbeque",,,,,0,24,24,4,,,,,,,,,,,2,1.90088679921,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.01,"Buying coffee on 
the way to work",0.05,"Getting retweets 
on a picture",,,,,0,25,25,6,,,,,,,,,,,2,2.88505828287,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.05,"Putting together 
a puzzle",0.01,"Going to the movies 
with a friend",,,,,0,26,26,0,,,,,,,,,,,1,2.00176221412,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.05,"Participating in 
a debate",0.03,"Going to a museum 
alone",,,,,0,27,27,15,,,,,,,,,,,2,2.601389369,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.03,"Teaching yourself a 
different language",0.03,"Joining a club 
at school",,,,,0,28,28,12,,,,,,,,,,,1,1.66834915802,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.01,"Going to a nightclub with 
a group of friends",0.05,Writing journal entries,,,,,0,29,29,37,,,,,,,,,,,2,1.11820644792,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.01,"Going to a carnival 
with friends",0.01,"Rearranging furniture 
in your house",,,,,0,30,30,23,,,,,,,,,,,2,1.66760272067,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.02,Exercising from home,0.03,"Attending a Superbowl 
party",,,,,0,31,31,22,,,,,,,,,,,1,1.55200413801,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",,,,,0,32,32,2,,,,,,,,,,,1,2.01751515362,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.04,"Trying out a new 
recipe at home",0.03,"Spending a day at the 
beach with a friend",,,,,0,33,33,16,,,,,,,,,,,1,2.68546683248,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.02,Practicing photography,0.04,"Going to a concert 
with a friend",,,,,0,34,34,10,,,,,,,,,,,1,1.48417070694,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.04,"Going to a work outing
with colleagues",0.01,"Going on vacation 
by yourself",,,,,0,35,35,11,,,,,,,,,,,2,1.90115302801,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
0.01,"Having a movie marathon 
with a roommate",0.04,"Looking through old 
photo albums",,,,,0,36,36,35,,,,,,,,,,,1,1.93450198509,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc3,18,59.9251698451,1,001,2018_Nov_28_1240,
