leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date,
,,,,,,,,,,,,,,,,,,,,space,10.3691978883,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.04,"Taking an online
class",0.03,"Gaining Twitter
followers ",,,,,0,0,0,49,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.04,"Babysitting for a 
family member",0.01,"Going on a hike 
by yourself",,,,,0,1,1,39,,,,,,,,,,,2,1.91815469414,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.04,"Going to a work outing
with colleagues",0.01,"Going on vacation 
by yourself",,,,,0,2,2,11,,,,,,,,,,,1,2.06820944883,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.03,Shopping online,0.01,"Catching up with friends 
from high school",,,,,0,3,3,18,,,,,,,,,,,2,1.81782137882,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.04,"Getting breakfast with 
a significant other",0.02,Listening to a podcast,,,,,0,4,4,27,,,,,,,,,,,2,2.08427153807,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.05,"Going camping 
with family",0.01,"Learning how to 
perform card tricks",,,,,0,5,5,29,,,,,,,,,,,2,1.9517882308,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.05,"Putting together 
a puzzle",0.01,"Going to the movies 
with a friend",,,,,0,6,6,0,,,,,,,,,,,1,1.96788422018,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.02,Exercising from home,0.03,"Attending a Superbowl 
party",,,,,0,7,7,22,,,,,,,,,,,2,2.30121174734,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.05,"Going on Spring Break 
vacation with friends",0.01,"Going for a bicycle
ride alone",,,,,0,8,8,13,,,,,,,,,,,2,2.13468001038,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.03,"Cleaning up around 
the house",0.05,"Playing a tennis match
 with a friend",,,,,0,9,9,38,,,,,,,,,,,1,2.26780369785,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.05,"Trying to solve a 
Rubik’s cube",0.03,"Going shopping with
a significant other",,,,,0,10,10,26,,,,,,,,,,,1,2.35099787824,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.03,"Getting a slice of pizza 
by yourself",0.02,Joining a study group,,,,,0,11,11,24,,,,,,,,,,,2,2.53466657363,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.02,"Going to the movies
with a significant other",0.05,"Driving to school
by yourself",,,,,0,12,12,46,,,,,,,,,,,1,3.23502234463,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.01,"Studying abroad 
with friends",0.05,Playing with a pet,,,,,0,13,13,45,,,,,,,,,,,2,3.10077091493,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",,,,,0,14,14,2,,,,,,,,,,,1,2.33542688284,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.02,"Shopping for clothes
with friends",0.03,"Going to the beach 
alone",,,,,0,15,15,40,,,,,,,,,,,1,2.93488328997,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
0.01,"Playing cards with 
friends",0.02,Studying for a test alone,,,,,0,16,16,21,,,,,,,,,,,2,2.53466315288,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc2,18,59.9882273011,1,001,2018_Nov_28_1111,
