leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date,
,,,,,,,,,,,,,,,,,,,,space,4.96741292998,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc26,18,60.0762522974,1,001,2019_Feb_13_1401,
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",,,,,0,0,0,2,,,,,,,,,,,1,2.95136820851,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc26,18,60.0762522974,1,001,2019_Feb_13_1401,
0.05,Taking a nap,0.02,"Getting likes on a 
facebook post",,,,,0,1,1,28,,,,,,,,,,,2,2.369238846,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc26,18,60.0762522974,1,001,2019_Feb_13_1401,
0.03,"Going to a family 
member’s baby shower",0.02,Watching the news,,,,,0,2,2,31,,,,,,,,,,,1,2.35069790529,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc26,18,60.0762522974,1,001,2019_Feb_13_1401,
0.01,"Watching YouTube
videos",0.02,"Making breakfast 
for your family",,,,,0,3,3,41,,,,,,,,,,,2,2.48464900116,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc26,18,60.0762522974,1,001,2019_Feb_13_1401,
0.02,Practicing photography,0.04,"Going to a concert 
with a friend",,,,,0,4,4,10,,,,,,,,,,,2,2.28400227288,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc26,18,60.0762522974,1,001,2019_Feb_13_1401,
0.01,"Studying abroad 
with friends",0.05,Playing with a pet,,,,,0,5,5,45,,,,,,,,,,,1,1.80076435441,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc26,18,60.0762522974,1,001,2019_Feb_13_1401,
0.02,"Adding new friends
on facebook",0.01,Running a marathon,,,,,0,6,6,9,,,,,,,,,,,1,2.90114556719,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc26,18,60.0762522974,1,001,2019_Feb_13_1401,
0.04,"Watching a football 
game from home",0.01,"Attending a family 
barbeque",,,,,0,7,7,4,,,,,,,,,,,1,3.18457308132,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc26,18,60.0762522974,1,001,2019_Feb_13_1401,
0.02,"Having a romantic dinner 
with a significant other",0.02,"Painting your bedroom
a new color",,,,,0,8,8,25,,,,,,,,,,,1,3.2183155776,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc26,18,60.0762522974,1,001,2019_Feb_13_1401,
0.02,"Shopping for clothes
with friends",0.03,"Going to the beach 
alone",,,,,0,9,9,40,,,,,,,,,,,2,2.48464526841,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc26,18,60.0762522974,1,001,2019_Feb_13_1401,
