selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response2.keys,response2.rt,response3.keys,response3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,space,2.41613734234,,,,,2019_Feb_06_1047,60.0219720382,Experiment1,001,exc19,
1,0,0,0,4,0,0,0,0,,,,,,,1,0.867563866545,,,2019_Feb_06_1047,60.0219720382,Experiment1,001,exc19,
1,0,0,0,4,,,,,,,,,,,,,,,2019_Feb_06_1047,60.0219720382,Experiment1,001,exc19,
2,0,1,1,11,,,,,0,0,0,0,,,,,2,0.551107327919,2019_Feb_06_1047,60.0219720382,Experiment1,001,exc19,
2,0,1,1,11,,,,,,,,,,,,,,,2019_Feb_06_1047,60.0219720382,Experiment1,001,exc19,
1,0,2,2,5,0,0,0,0,,,,,,,1,0.567540198099,,,2019_Feb_06_1047,60.0219720382,Experiment1,001,exc19,
1,0,2,2,5,,,,,,,,,,,,,,,2019_Feb_06_1047,60.0219720382,Experiment1,001,exc19,
1,0,3,3,22,0,0,0,0,,,,,,,2,0.701224130113,,,2019_Feb_06_1047,60.0219720382,Experiment1,001,exc19,
1,0,3,3,22,,,,,,,,,,,,,,,2019_Feb_06_1047,60.0219720382,Experiment1,001,exc19,
1,0,4,4,12,0,0,0,0,,,,,,,1,0.417200086173,,,2019_Feb_06_1047,60.0219720382,Experiment1,001,exc19,
1,0,4,4,12,,,,,,,,,,,,,,,2019_Feb_06_1047,60.0219720382,Experiment1,001,exc19,
2,0,5,5,1,,,,,0,0,0,0,,,,,2,0.717357802205,2019_Feb_06_1047,60.0219720382,Experiment1,001,exc19,
2,0,5,5,1,,,,,,,,,,,,,,,2019_Feb_06_1047,60.0219720382,Experiment1,001,exc19,
1,0,6,6,2,0,0,0,0,,,,,,,1,0.767737196293,,,2019_Feb_06_1047,60.0219720382,Experiment1,001,exc19,
