leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date,
,,,,,,,,,,,,,,,,,,,,space,1.86776229506,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc25,21,59.9320204684,0,001,2019_Feb_13_1230,
0.03,Shopping online,0.01,"Catching up with friends 
from high school",,,,,0,0,0,18,,,,,,,,,,,2,3.71834248118,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc25,21,59.9320204684,0,001,2019_Feb_13_1230,
0.03,"Getting a slice of pizza 
by yourself",0.02,Joining a study group,,,,,0,1,1,24,,,,,,,,,,,2,2.68448273139,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc25,21,59.9320204684,0,001,2019_Feb_13_1230,
0.02,Exercising from home,0.03,"Attending a Superbowl 
party",,,,,0,2,2,22,,,,,,,,,,,1,2.63431980507,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc25,21,59.9320204684,0,001,2019_Feb_13_1230,
0.05,"Planting flowers 
in a garden",0.02,"Taking a road trip 
with family",,,,,0,3,3,14,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc25,21,59.9320204684,0,001,2019_Feb_13_1230,
0.03,"Teaching yourself a 
different language",0.03,"Joining a club 
at school",,,,,0,4,4,12,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc25,21,59.9320204684,0,001,2019_Feb_13_1230,
0.05,"Going for a walk 
in the park",0.01,Playing a team sport,,,,,0,5,5,8,,,,,,,,,,,1,2.63440471282,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc25,21,59.9320204684,0,001,2019_Feb_13_1230,
0.04,"Reading news 
articles",0.04,"Watching television
with family",,,,,0,6,6,47,,,,,,,,,,,1,2.7675154414,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc25,21,59.9320204684,0,001,2019_Feb_13_1230,
0.05,Taking a nap,0.02,"Getting likes on a 
facebook post",,,,,0,7,7,28,,,,,,,,,,,2,2.63450081693,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc25,21,59.9320204684,0,001,2019_Feb_13_1230,
0.04,"Babysitting for a 
family member",0.01,"Going on a hike 
by yourself",,,,,0,8,8,39,,,,,,,,,,,2,2.66780540207,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,exc25,21,59.9320204684,0,001,2019_Feb_13_1230,
