leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date
,,,,,,,,,,,,,,,,,,,,space,6.252428021,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,WTP29,24,59.95981263,1,1,2018_Sep_28_1130
0.01,"Going to a friend’s 
birthday party",0.04,Reading a book,,,,,0,0,0,7,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,WTP29,24,59.95981263,1,1,2018_Sep_28_1130
0.01,"Buying clothes 
for yourself",0.03,"Going to a party
with roommates",,,,,0,1,1,48,,,,,,,,,,,2,2.451584049,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,WTP29,24,59.95981263,1,1,2018_Sep_28_1130
0.03,"Going to a family 
member’s baby shower",0.02,Watching the news,,,,,0,2,2,31,,,,,,,,,,,2,2.051407454,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,WTP29,24,59.95981263,1,1,2018_Sep_28_1130
0.05,"Taking a road trip 
by yourself",0.03,"Traveling abroad with 
a significant other",,,,,0,3,3,30,,,,,,,,,,,1,1.668411982,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,WTP29,24,59.95981263,1,1,2018_Sep_28_1130
0.04,"Going to a work outing
with colleagues",0.01,"Going on vacation 
by yourself",,,,,0,4,4,11,,,,,,,,,,,2,3.25229304,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,WTP29,24,59.95981263,1,1,2018_Sep_28_1130
0.05,"Putting together 
a puzzle",0.01,"Going to the movies 
with a friend",,,,,0,5,5,0,,,,,,,,,,,1,2.184779644,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,WTP29,24,59.95981263,1,1,2018_Sep_28_1130
0.01,"Watching YouTube
videos",0.02,"Making breakfast 
for your family",,,,,0,6,6,41,,,,,,,,,,,1,2.835494218,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,WTP29,24,59.95981263,1,1,2018_Sep_28_1130
0.01,Drawing a picture,0.03,"Getting likes on an 
Instagram picture",,,,,0,7,7,20,,,,,,,,,,,2,1.935023869,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,WTP29,24,59.95981263,1,1,2018_Sep_28_1130
0.03,"Going to the movies 
by yourself",0.01,"Seeing a play with a 
significant other",,,,,0,8,8,34,,,,,,,,,,,2,3.067804196,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,WTP29,24,59.95981263,1,1,2018_Sep_28_1130
