leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date
,,,,,,,,,,,,,,,,,,,,space,2.385194352,,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.01,"Going to a nightclub with 
a group of friends",0.05,Writing journal entries,,,,,0,0,0,37,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.01,Drawing a picture,0.03,"Getting likes on an 
Instagram picture",,,,,0,1,1,20,,,,,,,,,,,2,1.968362873,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.01,"Buying coffee on 
the way to work",0.05,"Getting retweets 
on a picture",,,,,0,2,2,6,,,,,,,,,,,2,3.735989137,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.05,"Putting together 
a puzzle",0.01,"Going to the movies 
with a friend",,,,,0,3,3,0,,,,,,,,,,,1,1.56784385,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.03,"Cleaning up around 
the house",0.05,"Playing a tennis match
 with a friend",,,,,0,4,4,38,,,,,,,,,,,2,2.484590888,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.05,"Planting flowers 
in a garden",0.02,"Taking a road trip 
with family",,,,,0,5,5,14,,,,,,,,,,,1,1.968426631,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.02,"Practicing an
 instrument",0.05,"Attending a family member’s 
wedding",,,,,0,6,6,2,,,,,,,,,,,1,2.268577194,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.04,"Reading news 
articles",0.04,"Watching television
with family",,,,,0,7,7,47,,,,,,,,,,,1,2.001256814,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.04,"Babysitting for a 
family member",0.01,"Going on a hike 
by yourself",,,,,0,8,8,39,,,,,,,,,,,2,3.58529649,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.04,"Watching a football 
game from home",0.01,"Attending a family 
barbeque",,,,,0,9,9,4,,,,,,,,,,,1,2.601503511,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.03,"Teaching yourself a 
different language",0.03,"Joining a club 
at school",,,,,0,10,10,12,,,,,,,,,,,1,2.651475318,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.05,"Trying to solve a 
Rubik’s cube",0.03,"Going shopping with
a significant other",,,,,0,11,11,26,,,,,,,,,,,1,3.66883092,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.01,"Studying abroad 
with friends",0.05,Playing with a pet,,,,,0,12,12,45,,,,,,,,,,,1,3.768017521,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.02,Practicing photography,0.04,"Going to a concert 
with a friend",,,,,0,13,13,10,,,,,,,,,,,1,2.134972987,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.04,"Going to a work outing
with colleagues",0.01,"Going on vacation 
by yourself",,,,,0,14,14,11,,,,,,,,,,,2,3.768836114,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.02,"Going on a double 
date",0.04,Doing your laundry,,,,,0,15,15,33,,,,,,,,,,,1,1.934623281,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.03,"Getting a slice of pizza 
by yourself",0.02,Joining a study group,,,,,0,16,16,24,,,,,,,,,,,1,2.118093238,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.03,"Going to the movies 
by yourself",0.01,"Seeing a play with a 
significant other",,,,,0,17,17,34,,,,,,,,,,,1,3.268340822,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.03,"Going to a family 
member’s baby shower",0.02,Watching the news,,,,,0,18,18,31,,,,,,,,,,,2,3.502264038,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.05,"Going for a walk 
in the park",0.01,Playing a team sport,,,,,0,19,19,8,,,,,,,,,,,2,2.268139906,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.02,"Getting lunch with 
coworkers",0.01,"Going to a farmer's
market by yourself",,,,,0,20,20,43,,,,,,,,,,,2,3.55156374,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.01,"Buying clothes 
for yourself",0.03,"Going to a party
with roommates",,,,,0,21,21,48,,,,,,,,,,,1,3.385528694,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.01,"Getting breakfast
by yourself",0.04,"Gaining Instagram
followers",,,,,0,22,22,44,,,,,,,,,,,2,1.96781673,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.01,"Having a movie marathon 
with a roommate",0.04,"Looking through old 
photo albums",,,,,0,23,23,35,,,,,,,,,,,2,3.584862623,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.01,"Going to a friend’s 
birthday party",0.04,Reading a book,,,,,0,24,24,7,,,,,,,,,,,2,3.252073463,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.05,"Having dinner with 
family",0.02,"Going grocery shopping 
alone",,,,,0,25,25,1,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.03,"Watching Netflix at home 
by yourself",0.03,"Meeting new people 
at a party",,,,,0,26,26,32,,,,,,,,,,,1,1.917927965,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.02,"Having a romantic dinner 
with a significant other",0.02,"Painting your bedroom
a new color",,,,,0,27,27,25,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.01,"Going to a carnival 
with friends",0.01,"Rearranging furniture 
in your house",,,,,0,28,28,23,,,,,,,,,,,2,2.468686796,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.02,"Shopping for clothes
with friends",0.03,"Going to the beach 
alone",,,,,0,29,29,40,,,,,,,,,,,2,1.534567049,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.03,"Going on a 
dinner date",0.04,Getting a haircut,,,,,0,30,30,5,,,,,,,,,,,2,2.568773165,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.05,"Going on Spring Break 
vacation with friends",0.01,"Going for a bicycle
ride alone",,,,,0,31,31,13,,,,,,,,,,,2,2.818123376,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.01,"Watching YouTube
videos",0.02,"Making breakfast 
for your family",,,,,0,32,32,41,,,,,,,,,,,1,2.46798981,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.02,Reading at the library,0.05,"Watching the sunset 
with a significant other",,,,,0,33,33,36,,,,,,,,,,,2,2.451919946,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
0.03,"Going to a sporting
event with friends",0.05,Putting gas in a car,,,,,0,34,34,3,,,,,,,,,,,2,3.735164946,,,,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp30,18,60.03930699,1,1,2018_Oct_03_1100
