uniqueCode,spacebar.keys,spacebar.rt,spacebar3.keys,spacebar3.rt,resp.keys,resp.rt,responses.keys,responses.rt,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop.ran,Loop.order,Left,Right,leftmoney,rightmoney,greenText,Participant ID *,Age *,Sex *,date,expName,psychopyVersion,frameRate,key_resp_2.keys,key_resp_2.rt,slider1.response,slider1.rt,slideKeys.rt,slider2.response,slider2.rt,slider3.response,slider3.rt,slideKeys3.rt,slider4.response,slider4.rt,slideKeys4.rt,slider6.response,slider6.rt,slideKeys6.rt,slider5.response,slider5.rt,slideKeys5.rt,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,questions.ran,questions.order
264427,space,5.77699995,space,2.642999887,return,4.991999865,2,1.829999924,1,0,50,10,1,49,"Going to a concert 
with a friend",Practicing photography,$0.02 ,$0.04 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.499000072,1,0,50,44,1,49,"Gaining Instagram
followers","Getting breakfast
by yourself",$0.01 ,$0.04 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.947999954,1,0,50,46,1,49,"Driving to school
by yourself","Going to the movies
with a significant other",$0.02 ,$0.05 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.498000145,1,0,50,24,1,49,Joining a study group,"Getting a slice of pizza 
by yourself",$0.03 ,$0.02 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.898000002,1,0,50,47,1,49,"Watching television
with family","Reading news 
articles",$0.04 ,$0.04 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2.59800005,1,0,50,17,1,49,"Watching a new 
episode of a television 
show","Having a picnic 
with family",$0.02 ,$0.02 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.630999804,1,0,50,18,1,49,"Catching up with friends 
from high school",Shopping online,$0.03 ,$0.01 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.417000055,1,0,50,2,1,49,"Attending a family member’s 
wedding","Practicing an
 instrument",$0.02 ,$0.05 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.616000175,1,0,50,23,1,49,"Rearranging furniture 
in your house","Going to a carnival 
with friends",$0.01 ,$0.01 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.267999887,1,0,50,21,1,49,Studying for a test alone,"Playing cards with 
friends",$0.01 ,$0.02 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,3.144000053,1,0,50,38,1,49,"Playing a tennis match
 with a friend","Cleaning up around 
the house",$0.03 ,$0.05 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.486999989,1,0,50,33,1,49,Doing your laundry,"Going on a double 
date",$0.02 ,$0.04 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,2.013999939,1,0,50,30,1,49,"Traveling abroad with 
a significant other","Taking a road trip 
by yourself",$0.05 ,$0.03 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.980999947,1,0,50,19,1,49,"Playing a videogame 
at home","Snapchatting with
friends",$0.04 ,$0.05 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
