choices,,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,20.55801389,None,space,14.095567,20.55801389,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
,,,,,,,,,,,,34.67872464,None,space,16.73437403,34.67872464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
,,,,,,,,,,,,,,,,,,51.43353955,51.43353955,space,35.45898591,51.43353955,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
,,,,,,,,,,,,,,,,,,,,,,,,86.91065766,86.91065766,space,104.8597637,86.91065766,None,,,,,,,,,,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
Putting gas in a car,NS,0,0,0,90,,,,,,,,,,,,,,,,,,,,,,,,,192.742601,None,$0.02 ,44.92,0.526264177,None,None,192.742601,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
"Playing ping-pongwith friends",S,0,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,237.6897623,None,$0.01 ,9.947,0.043284349,None,None,237.6897623,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
Listening to a podcast,NS,0,2,2,102,,,,,,,,,,,,,,,,,,,,,,,,,247.6748111,None,$0 ,5.432,0.014573257,None,None,247.6748111,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
Reading a book,NS,0,3,3,92,,,,,,,,,,,,,,,,,,,,,,,,,253.1596045,None,$0.02 ,7.755,0.022104188,None,None,253.1596045,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
Snapchatting your friends,SM,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,260.9782681,None,$0 ,3.676,0.025343416,None,None,260.9782681,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
Playing with a pet,NS,0,5,5,87,,,,,,,,,,,,,,,,,,,,,,,,,264.6962329,None,$0 ,2.587,0.023091974,None,None,264.6962329,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
"Getting drinks with co-workers",S,0,6,6,44,,,,,,,,,,,,,,,,,,,,,,,,,267.330088,None,$0.02 ,2.451,0.025606846,None,None,267.330088,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
"Getting verified on Instagram",SM,0,7,7,47,,,,,,,,,,,,,,,,,,,,,,,,,269.8308993,None,$0 ,3.747,0.026596808,None,None,269.8308993,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
"Teaching yourself a different language",NS,0,8,8,66,,,,,,,,,,,,,,,,,,,,,,,,,273.6319479,None,$0.02 ,3.436,0.018832615,None,None,273.6319479,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
Watching the news,NS,0,9,9,104,,,,,,,,,,,,,,,,,,,,,,,,,277.0997327,None,$0 ,2.097,0.012688503,None,None,277.0997327,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
Going to a coffee shop with friends,S,0,10,10,58,,,,,,,,,,,,,,,,,,,,,,,,,279.2504739,None,$0.02 ,1.704,0.016659861,None,None,279.2504739,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
Getting a haircut,NS,0,11,11,91,,,,,,,,,,,,,,,,,,,,,,,,,280.9841634,None,$0.03 ,3.068,0.010825208,None,None,280.9841634,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
"Getting tagged in Instagram pictures",SM,0,12,12,11,,,,,,,,,,,,,,,,,,,,,,,,,284.1016318,None,$0 ,2.377,0.016725174,None,None,284.1016318,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
"Going to a musicfestival with friends",S,0,13,13,30,,,,,,,,,,,,,,,,,,,,,,,,,286.5360083,None,$0.02 ,3.286,0.03793457,None,None,286.5360083,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
"Listening to musicby yourself",NS,0,14,14,82,,,,,,,,,,,,,,,,,,,,,,,,,289.8873539,None,$0 ,1.674,0.026642217,None,None,289.8873539,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
"Going grocery shopping alone",NS,0,15,15,89,,,,,,,,,,,,,,,,,,,,,,,,,291.6038906,None,$0.03 ,6.174,0.0160624,None,None,291.6038906,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
"Planting flowers in a garden",NS,0,16,16,67,,,,,,,,,,,,,,,,,,,,,,,,,297.8058358,None,$0.02 ,2.567,0.012583068,None,None,297.8058358,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
"Going to a comedy show with a significant other",S,0,17,17,56,,,,,,,,,,,,,,,,,,,,,,,,,300.4568946,None,$0.03 ,2.041,0.038261448,None,None,300.4568946,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
"Working on a groupproject with classmates",S,0,18,18,42,,,,,,,,,,,,,,,,,,,,,,,,,302.5405585,None,$0 ,4.499,0.02100848,None,None,302.5405585,None,,,,,,,1,1,2020_Jan_03_1249,choiceText,3.1.2,59.95634654
