selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.rt,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,19.514446297072027,None,space,7.44945452193042,19.514446297072027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,0,0,2,0,0,0,0,,,,,,,,,,,26.982365617884398,None,33.21737107468675,35.21815390577353,33.21737107468675,35.21815390577353,1,1.8345047808056734,33.21737107468675,35.21815390577353,35.234816358152784,None,37.2355783510659,39.21937713766215,37.2355783510659,38.21891030037136,38.23557181969818,39.21937713766215,39.23600973236012,None,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,1,1,7,0,0,0,0,,,,,,,,,,,,,41.21990369031619,43.22056242541407,41.21990369031619,43.22056242541407,2,0.46377967767989503,41.21990369031619,43.22056242541407,43.23721803540798,None,45.237823897528415,47.22175704369147,45.237823897528415,46.221421144774695,46.2381442455694,47.22175704369147,47.238430070666254,None,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,2,2,15,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,49.23901727173575,51.22296192554677,49.23901727173575,51.22296192554677,2,0.9405782375445142,49.23901727173575,51.22296192554677,51.3060866438816,None,53.25685630337648,55.22416711841947,53.25685630337648,54.223867297534525,54.24056831608573,55.22416711841947,55.240848231849895,None,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,3,3,12,0,0,0,0,,,,,,,,,,,,,57.22623414082818,59.22534991803127,57.22623414082818,59.22534991803127,2,0.7612697974311686,57.22623414082818,59.22534991803127,59.242052180652536,None,61.242695675892264,63.22657190585005,61.242695675892264,62.22612683978514,62.242867668578356,63.22657190585005,63.243252397245215,None,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,4,4,14,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,65.2438200042111,67.22776248089963,65.2438200042111,67.22776248089963,1,0.487546703167709,65.2438200042111,67.22776248089963,67.24443737397951,None,69.24503390557447,71.22896922886002,69.24503390557447,70.22868091562304,70.24535767480825,71.22896922886002,71.24563448039703,None,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
