choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,7.933360454060676,None,space,2.255169966406811,7.933360454060676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
,,,,,,,,,,,10.21718508621234,None,space,0.5232987886174669,10.21718508621234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
,,,,,,,,,,,,,,,,,10.767479262129655,10.767479262129655,space,10.86895836812846,10.767479262129655,None,,,,,,,,,,,,,,,,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
,,,,,,,,,,,,,,,,,,,,,,,21.654113999738,21.654113999738,space,30.501772955347406,21.654113999738,None,,,,,,,,,,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Going to a music
festival with friends",0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,53.23000771634452,None,$.04,8.892,0.9728948235178905,None,None,53.23000771634452,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Going on vacation 
by yourself",0,1,1,94,,,,,,,,,,,,,,,,,,,,,,,,,62.18249294845509,None,$0,5.89,0.0321498805851661,None,None,62.18249294845509,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Looking through old 
photo albums",0,2,2,106,,,,,,,,,,,,,,,,,,,,,,,,,68.13454275604408,None,$.02,3.41,0.026652023962014937,None,None,68.13454275604408,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Going to the beach 
alone",0,3,3,80,,,,,,,,,,,,,,,,,,,,,,,,,71.58551690955574,None,$0,3.538,0.02285014585186218,None,None,71.58551690955574,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Going to a farmer's
market by yourself",0,4,4,83,,,,,,,,,,,,,,,,,,,,,,,,,75.16970701839,None,$.03,4.897,0.024142734646375175,None,None,75.16970701839,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Viedochatting your friend over Snapchat,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,80.12114194435071,None,$.01,6.702,0.02037973372534907,None,None,80.12114194435071,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Watching a new 
episode of a television 
show",0,6,6,97,,,,,,,,,,,,,,,,,,,,,,,,,86.87320251314577,None,$.02,5.349,0.021012343352140306,None,None,86.87320251314577,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Going on a weekend
getaway with family",0,7,7,18,,,,,,,,,,,,,,,,,,,,,,,,,92.27477153430846,None,$.02,5.292,0.016744561003179115,None,None,92.27477153430846,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Getting likes on an
Instagram picture",0,8,8,17,,,,,,,,,,,,,,,,,,,,,,,,,97.62665177514782,None,$0,2.736,0.034955258574882464,None,None,97.62665177514782,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Going on a hike 
by yourself",0,9,9,108,,,,,,,,,,,,,,,,,,,,,,,,,100.41074777008225,None,$.01,5.206,0.016646901503463596,None,None,100.41074777008225,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Playing ping-pong
with friends",0,10,10,22,,,,,,,,,,,,,,,,,,,,,,,,,105.66228629597708,None,$.02,2.387,0.01888809372076139,None,None,105.66228629597708,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Practicing an
 instrument",0,11,11,61,,,,,,,,,,,,,,,,,,,,,,,,,108.09629475503152,None,$0,4.696,0.013944781328063982,None,None,108.09629475503152,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Sleeping over at 
a friend's house",0,12,12,26,,,,,,,,,,,,,,,,,,,,,,,,,112.84762847589263,None,$.01,5.027,0.03027693310559698,None,None,112.84762847589263,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Snapchat your friends to keep your "Snapstreaks",0,13,13,51,,,,,,,,,,,,,,,,,,,,,,,,,117.93267932570143,None,$0,6.3,0.03143609538619785,None,None,117.93267932570143,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Make comments on your friend's Instagram post,0,14,14,50,,,,,,,,,,,,,,,,,,,,,,,,,124.30106868728535,None,$0,5.065,0.03713175914936073,None,None,124.30106868728535,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
