selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,response3.rt,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,20.197361476423794,None,space,18.491234830651138,20.197361476423794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,0,0,11,,,,,0,0,0,0,,,,,,,38.7185460813248,None,44.820826036152994,46.820851539351224,44.820826036152994,46.820851539351224,None,44.820826036152994,46.820851539351224,46.8375716849805,None,48.854877471127566,50.822066362432,48.854877471127566,49.82174073013175,49.838473938375046,50.822066362432,50.83881543242069,None,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,1,1,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.82391161213491,54.82322706897003,52.82391161213491,54.82322706897003,1,0.46447886546866357,52.82391161213491,54.82322706897003,54.839903672553646,None,56.85711117808296,58.824349209696265,56.85711117808296,57.824001184343615,57.84077855666192,58.824349209696265,58.841049761404975,None,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,2,2,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.82664698566168,62.82554257276888,60.82664698566168,62.82554257276888,1,0.765595439032495,60.82664698566168,62.82554257276888,62.84220549170914,None,64.84286670877782,66.82672473931507,64.84286670877782,65.82607129761209,65.8427559875754,66.82672473931507,66.8433699304228,None,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,2,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,3,3,9,,,,,0,0,0,0,,,,,,,,,68.82890215262523,70.82789259918945,68.82890215262523,70.82789259918945,2,68.82890215262523,70.82789259918945,70.84454867580871,None,72.84528111522377,74.82905112862545,72.84528111522377,73.82876188503451,73.84542355991653,74.82905112862545,74.84571653568264,None,,,,,,,,,,,,,,,,,,,0.3071141793739116,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,4,4,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.83017637949752,78.83023391720099,76.83017637949752,78.83023391720099,2,0.6095441676516202,76.83017637949752,78.83023391720099,78.84675936768235,None,80.84748278767347,82.83137098662837,80.84748278767347,81.83096169139708,81.84776425589916,82.83137098662837,82.84809299834569,None,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,5,5,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.83348775208879,86.83252889403502,84.83348775208879,86.83252889403502,1,0.5341651108160477,84.83348775208879,86.83252889403502,86.84921109588186,None,88.84977558740547,90.83371106058166,88.84977558740547,89.83333131173822,89.8500887791215,90.83371106058166,90.85038237691651,None,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,6,6,21,,,,,0,0,0,0,,,,,,,,,92.85093536089971,94.83487332219283,92.85093536089971,94.83487332219283,1,92.85093536089971,94.83487332219283,94.85153872925002,None,96.85210135468606,98.83603340670152,96.85210135468606,97.8357258132487,97.85240739306619,98.83603340670152,98.85269632564223,None,,,,,,,,,,,,,,,,,,,0.5805862190049993,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,6,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,7,7,3,,,,,0,0,0,0,,,,,,,,,100.83802110109718,102.83720499875108,100.83802110109718,102.83720499875108,1,100.83802110109718,102.83720499875108,102.85386791769179,None,104.85442898805468,106.83837316963991,104.85442898805468,105.83808392604942,105.8547061020754,106.83837316963991,106.8550314233612,None,,,,,,,,,,,,,,,,,,,0.4412998793573024,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,8,8,18,,,,,0,0,0,0,,,,,,,,,108.8403490454807,110.83953791936801,108.8403490454807,110.83953791936801,1,108.8403490454807,110.83953791936801,110.85618217743195,None,112.85675942055468,114.84070888938868,112.85675942055468,113.84040129593541,113.85706079371539,114.84070888938868,114.85737243035828,None,,,,,,,,,,,,,,,,,,,0.27885321447593014,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,8,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,9,9,8,,,,,0,0,0,0,,,,,,,,,116.8425905278009,118.84185933244453,116.8425905278009,118.84185933244453,1,116.8425905278009,118.84185933244453,118.85851914123896,None,120.85908892001089,122.84301133057306,120.85908892001089,121.84273172843541,121.85940055665378,122.84301133057306,122.85967984777699,None,,,,,,,,,,,,,,,,,,,0.34845393080468057,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
