choices,Type,typeCode,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,9.115068875741144,None,space,17.585513934543542,9.115068875741144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
,,,,,,,,,,,,,26.719943158968817,None,space,1.0205126578280215,26.719943158968817,None,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
,,,,,,,,,,,,,,,,,,,27.770260347222575,27.770260347222575,space,11.658159483939471,27.770260347222575,None,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
,,,,,,,,,,,,,,,,,,,,,,,,,39.456991810674026,39.456991810674026,space,34.21057524329899,39.456991810674026,None,,,,,,,,,,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Watching videos on Youtube,nonsocial,0,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,74.65030387682827,None,$.05,17.442,0.8408413816136999,None,None,74.65030387682827,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Getting verified on 
Instagram",social Media,2,0,1,1,47,,,,,,,,,,,,,,,,,,,,,,,,,92.15538725518081,None,$0,6.508,0.0439656478138204,None,None,92.15538725518081,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Going out to dinner with friends,social,1,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,98.70723790098691,None,$.03,7.653,0.023546294369680254,None,None,98.70723790098691,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Going to a bar 
with friends",social,1,0,3,3,35,,,,,,,,,,,,,,,,,,,,,,,,,106.42625921264153,None,$.02,6.708,0.031261944905054406,None,None,106.42625921264153,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Playing with a pet,nonsocial,0,0,4,4,87,,,,,,,,,,,,,,,,,,,,,,,,,113.19475890613649,None,$.03,4.077,0.03446663948398054,None,None,113.19475890613649,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Looking at your Twitter feed,social Media,2,0,5,5,48,,,,,,,,,,,,,,,,,,,,,,,,,117.3142283276461,None,$0,2.48,0.024811501818021497,None,None,117.3142283276461,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Watching Netflix at home 
by yourself",nonsocial,0,0,6,6,76,,,,,,,,,,,,,,,,,,,,,,,,,119.86345121098202,None,$.02,4.36,0.03211879016544117,None,None,119.86345121098202,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Looking at your friend's Snapchat stories,social Media,2,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,124.28288800705877,None,$0,2.348,0.03809524698135647,None,None,124.28288800705877,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Getting a slice of pizza 
by yourself",nonsocial,0,0,8,8,72,,,,,,,,,,,,,,,,,,,,,,,,,126.6987344504355,None,$.01,2.588,0.03657345247665944,None,None,126.6987344504355,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Looking at your Facebook feed,social Media,2,0,9,9,55,,,,,,,,,,,,,,,,,,,,,,,,,129.33309323005142,None,$0,2.076,0.018451563983944652,None,None,129.33309323005142,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Going on a hike 
by yourself",nonsocial,0,0,10,10,108,,,,,,,,,,,,,,,,,,,,,,,,,131.46692872758013,None,$.05,3.443,0.03144388845385038,None,None,131.46692872758013,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Buying coffee on 
the way to work",nonsocial,0,0,11,11,63,,,,,,,,,,,,,,,,,,,,,,,,,134.95103261516942,None,$0,2.97,0.021905692282871314,None,None,134.95103261516942,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Going to an amusement 
park with a friend",social,1,0,12,12,27,,,,,,,,,,,,,,,,,,,,,,,,,137.98547406246962,None,$.04,3.703,0.033215116679002676,None,None,137.98547406246962,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Going on a first date 
to the movies",social,1,0,13,13,20,,,,,,,,,,,,,,,,,,,,,,,,,141.75311908780623,None,$.05,2.951,0.038940273686876026,None,None,141.75311908780623,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Going for a bicycle
ride alone",nonsocial,0,0,14,14,95,,,,,,,,,,,,,,,,,,,,,,,,,144.770726247114,None,$.05,3.838,0.031169573564511666,None,None,144.770726247114,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Making cookies with your partner,social,1,0,15,15,8,,,,,,,,,,,,,,,,,,,,,,,,,148.67176388516964,None,$.04,4.32,0.034122657321404404,None,None,148.67176388516964,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Taking classes with a friend,social,1,0,16,16,25,,,,,,,,,,,,,,,,,,,,,,,,,153.04184172901705,None,$.05,2.564,0.025086127721806406,None,None,153.04184172901705,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Shopping online,nonsocial,0,0,17,17,69,,,,,,,,,,,,,,,,,,,,,,,,,155.65721586560176,None,$.04,2.514,0.023905516248305503,None,None,155.65721586560176,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Going to a street fair
with friends",social,1,0,18,18,40,,,,,,,,,,,,,,,,,,,,,,,,,158.22472049894168,None,$.03,3.167,0.024315433508945716,None,None,158.22472049894168,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Going on a blind date,social,1,0,19,19,34,,,,,,,,,,,,,,,,,,,,,,,,,161.44230041336914,None,$.03,2.251,0.02127806479256833,None,None,161.44230041336914,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Studying for a test alone,nonsocial,0,0,20,20,99,,,,,,,,,,,,,,,,,,,,,,,,,163.742937713414,None,$.05,2.399,0.02531876665307209,None,None,163.742937713414,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Playing icebreakers
with classmates",social,1,0,21,21,19,,,,,,,,,,,,,,,,,,,,,,,,,166.2102014037332,None,$.04,3.76,0.03148432035413862,None,None,166.2102014037332,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Getting a lot of comments on your Instagram post,social Media,2,0,22,22,41,,,,,,,,,,,,,,,,,,,,,,,,,170.0279608357955,None,$0,3.257,0.030570248404274025,None,None,170.0279608357955,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Playing videogames 
with friends",social,1,0,23,23,31,,,,,,,,,,,,,,,,,,,,,,,,,173.34560939114817,None,$.02,4.237,0.03599963051465238,None,None,173.34560939114817,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Rearranging furniture 
in your house",nonsocial,0,0,24,24,100,,,,,,,,,,,,,,,,,,,,,,,,,177.64686094505487,None,$.01,3.294,0.030977988562881364,None,None,177.64686094505487,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
