choices,Type,typeCode,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,12.962288932507363,None,space,24.409805356513516,12.962288932507363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
,,,,,,,,,,,,,37.402614653918135,None,space,0.7933018232097311,37.402614653918135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
,,,,,,,,,,,,,,,,,,,38.21946416202991,38.21946416202991,space,69.00753779706338,38.21946416202991,None,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
,,,,,,,,,,,,,,,,,,,,,,,,,107.25679423425117,107.25679423425117,space,68.48920974738303,107.25679423425117,None,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Going out to dinner with friends,social,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,176.52945497771134,None,$.04,23.589,0.6854944681040251,None,None,176.52945497771134,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Getting ice cream
with friends",social,1,0,1,1,49,,,,,,,,,,,,,,,,,,,,,,,,,200.16778689643752,None,$.05,6.993,0.01635356112410591,None,None,200.16778689643752,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Cleaning up around 
the house",nonsocial,0,0,2,2,79,,,,,,,,,,,,,,,,,,,,,,,,,207.20300361121326,None,$.01,4.557,0.018077525850912934,None,None,207.20300361121326,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Going to a coffee shop with friends,social,1,0,3,3,58,,,,,,,,,,,,,,,,,,,,,,,,,211.80453480788356,None,$0,3.557,0.015787511006237764,None,None,211.80453480788356,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
Direct messaging your crush on Snapchat,social Media,2,0,4,4,54,,,,,,,,,,,,,,,,,,,,,,,,,215.4055867280531,None,$.05,5.186,0.018699247930726415,None,None,215.4055867280531,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
"Watching a new 
episode of a television 
show",nonsocial,0,0,5,5,97,,,,,,,,,,,,,,,,,,,,,,,,,220.6407656232168,None,$.05,4.797,0.022116075729627482,None,None,220.6407656232168,None,,,,,,,017,001,2020_Feb_21_1058,choiceText,3.1.2,59.9894957003395,
