choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,11.491960012994241,None,space,8.143075013998896,11.491960012994241,None,,,,,,,,,,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Going to a bar 
with friends",0,0,0,35,,,,,,,19.755757690989412,None,$0.60,19.334,0.04083334997994825,None,None,19.755757690989412,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Getting likes on an
Instagram picture",0,1,1,17,,,,,,,39.126960875990335,None,$0.60,1.813,0.028864997962955385,None,None,39.126960875990335,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Eating dinner at a
restaurant with friends ",0,2,2,14,,,,,,,40.975622944009956,None,$0.60,0.453,0.027441915008239448,None,None,40.975622944009956,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Sleeping over at 
a friend's house",0,3,3,26,,,,,,,41.47560462902766,None,$0.60,0.438,0.027183342957869172,None,None,41.47560462902766,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Baking a cake for a 
family memberís birthday",0,4,4,2,,,,,,,41.96046037401538,None,$0.60,0.568,0.02820386999519542,None,None,41.96046037401538,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Going on a weekend
getaway with family",0,5,5,18,,,,,,,42.575538150034845,None,$0.60,0.571,0.02611740300199017,None,None,42.575538150034845,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Buying flowers for 
a significant other",0,6,6,5,,,,,,,43.1943491550046,None,$0.60,0.574,0.024915408983360976,None,None,43.1943491550046,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Going to a coffee 
shop with friends",0,7,7,9,,,,,,,43.81024980399525,None,$0.60,0.522,0.025518768990878016,None,None,43.81024980399525,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
"Taking an art class 
with friends",0,8,8,38,,,,,,,44.37561886099866,None,$0.60,0.406,0.026557311008218676,None,None,44.37561886099866,None,,,,,,,99999,001,2019_Nov_25_2131,choiceText,3.1.5,60.132552833595625,
