Subject,Sex,Gender,Age,type,"typeCode  (0=NS, 1=S, 2=SM)",amount spent,reaction time (seconds),,`
12,Male ,Male,21,S,1,0.04,8.892,,
12,Male ,Male ,21,NS,0,0.00,5.89,,
12,Male ,Male ,21,NS,0,0.02,3.41,,
12,Male ,Male ,21,NS,0,0.00,3.538,,
12,Male ,Male ,21,NS,0,0.03,4.897,,
12,Male ,Male ,21,SM,2,0.01,6.702,,
12,Male ,Male ,21,NS,0,0.02,5.349,,
12,Male ,Male ,21,S,1,0.02,5.292,,
12,Male ,Male ,21,SM,2,0.00,2.736,,
12,Male ,Male ,21,NS,0,0.01,5.206,,
12,Male ,Male ,21,S,1,0.02,2.387,,
12,Male ,Male ,21,NS,0,0.00,4.696,,
12,Male ,Male ,21,S,1,0.01,5.027,,
12,Male ,Male ,21,SM,2,0.00,6.3,,
12,Male ,Male ,21,SM,2,0.00,5.065,,
12,Male ,Male ,21,SM,2,0.00,2.678,,
12,Male ,Male ,21,NS,0,0.00,3.969,,
12,Male ,Male ,21,NS,0,0.03,2.435,,
12,Male ,Male ,21,NS,0,0.02,2.409,,
12,Male ,Male ,21,SM,2,0.00,4.497,,
12,Male ,Male ,21,S,1,0.00,4.667,,
12,Male ,Male ,21,NS,0,0.01,3.221,,
12,Male ,Male ,21,NS,0,0.01,3.117,,
12,Male ,Male ,21,S,1,0.02,4.237,,
12,Male ,Male ,21,SM,2,0.00,3.31,,
12,Male ,Male ,21,SM,2,0.00,2.325,,
12,Male ,Male ,21,SM,2,0.00,1.907,,
12,Male ,Male ,21,NS,0,0.01,2.922,,
12,Male ,Male ,21,NS,0,0.00,2.248,,
12,Male ,Male ,21,SM,2,0.00,3.002,,
12,Male ,Male ,21,NS,0,0.00,2.815,,
12,Male ,Male ,21,S,1,0.01,14.88,,
12,Male ,Male ,21,NS,0,0.00,2.677,,
12,Male ,Male ,21,NS,0,0.00,3.239,,
12,Male ,Male ,21,NS,0,0.00,5.442,,
12,Male ,Male ,21,SM,2,0.00,2.712,,
12,Male ,Male ,21,NS,0,0.01,4.195,,
12,Male ,Male ,21,NS,0,0.02,4.126,,
12,Male ,Male ,21,SM,2,0.00,1.852,,
12,Male ,Male ,21,S,1,0.00,3.023,,
12,Male ,Male ,21,SM,2,0.00,2.139,,
12,Male ,Male ,21,SM,2,0.01,4.141,,
12,Male ,Male ,21,S,1,0.00,2.758,,
12,Male ,Male ,21,S,1,0.00,12.291,,
12,Male ,Male ,21,S,1,0.00,2.938,,
12,Male ,Male ,21,NS,0,0.01,2.675,,
12,Male ,Male ,21,NS,0,0.01,3.435,,
12,Male ,Male ,21,S,1,0.05,4.279,,
12,Male ,Male ,21,NS,0,0.01,4.011,,
12,Male ,Male ,21,SM,2,0.05,4.684,,
12,Male ,Male ,21,S,1,0.00,8.939,,
12,Male ,Male ,21,NS,0,0.00,3.947,,
12,Male ,Male ,21,NS,0,0.02,1.559,,
12,Male ,Male ,21,NS,0,0.00,3.345,,
12,Male ,Male ,21,SM,2,0.00,2.877,,
12,Male ,Male ,21,NS,0,0.00,1.913,,
12,Male ,Male ,21,S,1,0.02,3.14,,
12,Male ,Male ,21,S,1,0.00,2.224,,
12,Male ,Male ,21,SM,2,0.01,46.869,,
12,Male ,Male ,21,NS,0,0.02,2.626,,
12,Male ,Male ,21,NS,0,0.01,5.338,,
12,Male ,Male ,21,NS,0,0.01,2.899,,
12,Male ,Male ,21,NS,0,0.01,3.57,,
12,Male ,Male ,21,SM,2,0.00,2.826,,
12,Male ,Male ,21,NS,0,0.00,3.169,,
12,Male ,Male ,21,NS,0,0.01,1.941,,
12,Male ,Male ,21,S,1,0.01,2.925,,
12,Male ,Male ,21,S,1,0.01,4.015,,
12,Male ,Male ,21,NS,0,0.00,3.839,,
12,Male ,Male ,21,SM,2,0.00,1.621,,
12,Male ,Male ,21,NS,0,0.00,4.414,,
12,Male ,Male ,21,NS,0,0.01,2.172,,
12,Male ,Male ,21,SM,2,0.00,2.029,,
12,Male ,Male ,21,SM,2,0.01,2.871,,
12,Male ,Male ,21,NS,0,0.01,1.93,,
12,Male ,Male ,21,S,1,0.01,2.196,,
12,Male ,Male ,21,NS,0,0.01,2.169,,
12,Male ,Male ,21,S,1,0.02,11.141,,
12,Male ,Male ,21,NS,0,0.00,1.992,,
12,Male ,Male ,21,S,1,0.02,1.838,,
12,Male ,Male ,21,SM,2,0.00,3.616,,
12,Male ,Male ,21,NS,0,0.00,1.581,,
12,Male ,Male ,21,SM,2,0.00,2.032,,
12,Male ,Male ,21,S,1,0.01,2.074,,
12,Male ,Male ,21,SM,2,0.01,10.924,,
12,Male ,Male ,21,NS,0,0.00,9.713,,
12,Male ,Male ,21,S,1,0.01,4.045,,
12,Male ,Male ,21,S,1,0.04,3.01,,
12,Male ,Male ,21,NS,0,0.03,2.945,,
12,Male ,Male ,21,NS,0,0.00,2.021,,
12,Male ,Male ,21,NS,0,0.02,2.067,,
12,Male ,Male ,21,SM,2,0.00,2.597,,
12,Male ,Male ,21,NS,0,0.00,3.413,,
12,Male ,Male ,21,NS,0,0.00,28.869,,
12,Male ,Male ,21,S,1,0.03,4.033,,
12,Male ,Male ,21,NS,0,0.03,4.148,,
12,Male ,Male ,21,S,1,0.00,2.147,,
12,Male ,Male ,21,NS,0,0.00,3.319,,
12,Male ,Male ,21,S,1,0.01,2.274,,
12,Male ,Male ,21,NS,0,0.03,10.878,,
12,Male ,Male ,21,SM,2,0.03,3.205,,
12,Male ,Male ,21,S,1,0.00,2.254,,
12,Male ,Male ,21,NS,0,0.01,6.527,,
12,Male ,Male ,21,S,1,0.04,5.186,,
12,Male ,Male ,21,S,1,0.00,3.732,,
12,Male ,Male ,21,S,1,0.00,2.616,,
12,Male ,Male ,21,SM,2,0.00,1.563,,
12,Male ,Male ,21,NS,0,0.02,1.572,,
12,Male ,Male ,21,S,1,0.00,4.485,,
12,Male ,Male,21,S,1,0.00,1.84,,
11,Female,Female,20,NS,0,0.01,12.481,,
11,Female,Female,20,S,1,0.05,5.253,,
11,Female,Female,20,NS,0,0.02,3.837,,
11,Female,Female,20,NS,0,0.03,5.765,,
11,Female,Female,20,SM,2,0.00,2.927,,
11,Female,Female,20,S,1,0.05,3.417,,
11,Female,Female,20,NS,0,0.01,4.112,,
11,Female,Female,20,S,1,0.00,3.391,,
11,Female,Female,20,NS,0,0.01,4.663,,
11,Female,Female,20,NS,0,0.05,4.101,,
11,Female,Female,20,NS,0,0.05,2.378,,
11,Female,Female,20,SM,2,0.00,3.363,,
11,Female,Female,20,NS,0,0.00,2.415,,
11,Female,Female,20,NS,0,0.01,3.772,,
11,Female,Female,20,SM,2,0.00,5.134,,
11,Female,Female,20,S,1,0.05,2.841,,
