7.6916 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x07D5EB50>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.6916 	EXP 	window1: recordFrameIntervals = False
7.8575 	EXP 	window1: recordFrameIntervals = True
8.0413 	EXP 	window1: recordFrameIntervals = False
8.1767 	EXP 	Created Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, name='Instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='height', win=Window(...), wrapWidth=1)
8.1781 	EXP 	window1: blendMode = 'avg'
8.1907 	EXP 	Instructions: autoDraw = True
8.1911 	EXP 	window1: blendMode = 'avg'
8.2075 	EXP 	window1: blendMode = 'avg'
8.2241 	EXP 	window1: blendMode = 'avg'
8.2421 	EXP 	window1: blendMode = 'avg'
8.2585 	EXP 	window1: blendMode = 'avg'
8.2752 	EXP 	window1: blendMode = 'avg'
8.2919 	EXP 	window1: blendMode = 'avg'
8.3085 	EXP 	window1: blendMode = 'avg'
8.3251 	EXP 	window1: blendMode = 'avg'
8.3419 	EXP 	window1: blendMode = 'avg'
8.3585 	EXP 	window1: blendMode = 'avg'
8.3752 	EXP 	window1: blendMode = 'avg'
8.3919 	EXP 	window1: blendMode = 'avg'
8.4089 	EXP 	window1: blendMode = 'avg'
8.4255 	EXP 	window1: blendMode = 'avg'
8.4422 	EXP 	window1: blendMode = 'avg'
8.4589 	EXP 	window1: blendMode = 'avg'
8.4754 	EXP 	window1: blendMode = 'avg'
8.4920 	EXP 	window1: blendMode = 'avg'
8.5082 	EXP 	window1: blendMode = 'avg'
8.5249 	EXP 	window1: blendMode = 'avg'
8.5422 	EXP 	window1: blendMode = 'avg'
8.5589 	EXP 	window1: blendMode = 'avg'
8.5755 	EXP 	window1: blendMode = 'avg'
8.5922 	EXP 	window1: blendMode = 'avg'
8.6089 	EXP 	window1: blendMode = 'avg'
8.6256 	EXP 	window1: blendMode = 'avg'
8.6423 	EXP 	window1: blendMode = 'avg'
8.6590 	EXP 	window1: blendMode = 'avg'
8.6756 	EXP 	window1: blendMode = 'avg'
8.6923 	EXP 	window1: blendMode = 'avg'
8.7089 	EXP 	window1: blendMode = 'avg'
8.7256 	EXP 	window1: blendMode = 'avg'
8.7423 	EXP 	window1: blendMode = 'avg'
8.7590 	EXP 	window1: blendMode = 'avg'
