choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,None,None,space,-1.119652213077643,None,None,,,,,,,,,,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
"Going to a street fair
with friends",0,0,0,40,,,,,,,11.371100133052096,None,$0.02,9.996,0.9141150660143467,None,None,11.371100133052096,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Going to a coffee shop with friends,0,1,1,58,,,,,,,21.406960217107553,None,$0.05,4.599,0.0277423396037193,None,None,21.406960217107553,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
"Celebrating holidays 
with family",0,2,2,37,,,,,,,26.07600499113323,None,$0.05,1.935,0.03989516381989233,None,None,26.07600499113323,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
"Playing videogames 
with friends",0,3,3,31,,,,,,,28.108266346360324,None,$0.01,2.024,0.04899757471866906,None,None,28.108266346360324,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Snapchat your friends to keep your "Snapstreaks",0,4,4,51,,,,,,,30.208550549839856,None,$0.01,4.246,0.04116471797169652,None,None,30.208550549839856,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Having a celebrity comment on your Facebook post,0,5,5,57,,,,,,,34.52663668918831,None,$0.01,2.345,0.041137970867566764,None,None,34.52663668918831,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Make comments on your friend's Instagram post,0,6,6,50,,,,,,,36.94381460901059,None,$0.01,1.945,0.04175315413158387,None,None,36.94381460901059,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Taking classes with a friend,0,7,7,25,,,,,,,38.94443445747311,None,$0.01,1.729,0.03003730287309736,None,None,38.94443445747311,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Becoming "InstaFamous",0,8,8,36,,,,,,,40.72849642117217,None,$0.05,2.908,0.031173121533356607,None,None,40.72849642117217,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
